Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Ricla-50225,1.911,1.748,2.949,2.407,104,20.149,16.721,17.113,15.386
Agrupación municipios pequeños-50,28.131,24.948,55.170,-,-,22.338,18.754,18.956,16.929
"Asturias, Principado de",638.511,563.145,1.008.028,,,30.446,25.671,24.774,21.770
Asturias,638.511,563.145,1.008.028,,,30.446,25.671,24.774,21.770
Castrillón-33016,14.716,12.640,22.124,287,1,33.887,28.429,27.201,23.823
Oviedo-33044,147.942,134.306,220.543,309,2,33.407,27.517,26.758,23.079
Llanera-33035,8.667,7.740,13.938,404,3,32.227,25.885,25.950,21.849
Muros de Nalón-33039,1.167,1.009,1.942,462,4,31.569,24.730,25.610,21.439
Gijón-33024,173.173,153.978,268.561,470,5,31.516,26.284,25.564,22.222
Siero-33066,32.532,28.528,52.593,522,6,30.913,25.641,25.074,21.716
Morcín-33038,1.500,1.292,2.537,531,7,30.868,26.739,24.993,22.780
Illas-33030,654,582,1.034,555,8,30.662,25.577,25.156,22.043
Gozón-33025,6.526,5.672,10.405,581,9,30.402,25.762,24.744,21.898
Noreña-33042,3.184,2.829,5.102,601,10,30.292,25.631,24.667,21.660
Navia-33041,5.139,4.507,8.112,624,11,30.135,25.387,24.359,21.248
"Regueras, Las-33054",1.099,964,1.875,633,12,30.094,25.589,24.650,21.946
Avilés-33004,48.085,41.691,75.351,677,13,29.817,26.176,24.387,22.224
Carreño-33014,6.522,5.700,10.256,701,14,29.618,26.306,24.192,22.267
Coaña-33018,1.959,1.718,3.323,730,15,29.357,24.867,23.841,21.004
Villaviciosa-33076,9.262,8.228,15.342,775,16,29.081,23.357,23.755,20.058
Riosa-33058,1.029,848,1.712,798,17,28.908,27.629,23.776,23.127
Laviana-33032,8.391,6.876,12.284,817,18,28.717,26.286,23.712,22.109
Lena-33033,6.491,5.456,10.259,851,19,28.510,26.315,23.509,22.306
Sariego-33065,754,632,1.265,855,20,28.443,24.465,23.504,21.209
Aller-33002,6.391,5.336,10.012,859,21,28.417,26.159,23.450,22.188
Soto del Barco-33069,2.355,2.020,3.807,862,22,28.398,24.936,23.332,21.145
Tapia de Casariego-33070,2.148,1.917,3.579,882,23,28.176,23.393,22.988,20.054
Mieres-33037,23.237,19.463,36.132,911,24,27.966,25.993,23.237,21.981
Corvera de Asturias-33020,9.611,8.186,15.637,922,25,27.910,25.162,23.034,21.441
"Franco, El-33023",2.183,1.924,3.744,937,26,27.773,23.380,22.932,19.894
Cudillero-33021,2.712,2.368,4.896,1.002,27,27.325,22.883,22.684,19.526
Langreo-33031,23.880,20.162,38.282,1.006,28,27.304,24.751,22.642,21.092
Ribadesella-33056,3.263,2.899,5.552,1.016,29,27.244,21.649,22.447,18.675
San Martín del Rey Aurelio-33060,9.953,8.182,15.405,1.042,30,27.070,25.407,22.522,21.521
Ribera de Arriba-33057,989,857,1.852,1.099,31,26.718,23.885,22.054,20.477
Nava-33040,3.265,2.824,5.203,1.122,32,26.540,23.454,22.155,20.091
Grado-33026,5.474,4.770,9.688,1.140,33,26.475,23.499,22.111,20.075
Cangas del Narcea-33011,7.126,6.163,11.421,1.145,34,26.456,24.097,22.005,20.555
Castropol-33017,1.897,1.674,3.252,1.180,35,26.260,21.704,21.660,18.580
Llanes-33036,7.565,6.916,13.549,1.198,36,26.197,20.693,21.629,18.143
Candamo-33010,997,861,1.899,1.201,37,26.180,23.380,21.923,20.303
Pravia-33051,4.766,4.118,7.790,1.353,38,25.376,22.830,21.202,19.516
Parres-33045,3.033,2.747,5.152,1.358,39,25.323,20.579,21.093,18.091
Colunga-33019,1.749,1.544,3.148,1.371,40,25.248,20.422,21.126,17.794
Bimenes-33006,922,767,1.649,1.424,41,24.995,23.483,21.078,20.062
Ibias-33028,475,420,1.098,1.436,42,24.943,23.501,21.064,19.973
Valdés-33034,6.375,5.645,10.895,1.438,43,24.938,20.401,20.901,18.033
Salas-33059,2.638,2.312,4.799,1.460,44,24.813,21.657,20.927,18.757
Vegadeo-33074,2.194,1.959,3.930,1.469,45,24.775,20.693,20.641,18.013
Teverga-33072,621,552,1.539,1.559,46,24.244,22.414,20.394,19.272
Cangas de Onís-33012,3.711,3.405,6.316,1.576,47,24.150,19.174,20.315,17.377
Belmonte de Miranda-33005,621,556,1.394,1.609,48,23.980,21.631,20.270,18.817
Quirós-33053,441,403,1.160,1.616,49,23.949,21.786,20.380,18.774
Tineo-33073,4.908,4.280,8.769,1.619,50,23.933,20.998,20.180,18.384
Piloña-33049,3.744,3.301,6.753,1.660,51,23.792,20.197,20.161,18.044
Cabranes-33009,478,436,1.097,1.826,52,23.021,18.121,19.616,16.669
Boal-33007,739,659,1.380,1.829,53,23.011,19.804,19.581,17.578
Ribadedeva-33055,980,889,1.693,1.847,54,22.938,18.217,19.330,16.708
Caso-33015,515,459,1.427,2.119,55,21.668,18.623,18.590,16.653
Peñamellera Baja-33047,641,572,1.188,2.149,56,21.548,18.359,18.297,16.614
Cabrales-33008,1.022,931,1.908,2.213,57,21.179,17.233,18.086,15.885
Allande-33001,862,764,1.530,2.258,58,20.900,18.176,18.060,16.577
Villayón-33077,606,541,1.064,2.429,59,20.059,16.562,17.524,15.791
Somiedo-33068,382,361,1.065,2.519,60,19.570,16.359,16.525,15.452
Agrupación municipios pequeños-33,4.250,3.806,8.816,-,-,22.730,18.366,19.265,16.832
"Balears, Illes",669.985,631.466,1.221.403,,,33.961,24.576,27.055,20.613
"Balears, Illes",669.985,631.466,1.221.403,,,33.961,24.576,27.055,20.613
Esporles-07020,3.107,2.950,5.252,33,1,47.908,31.344,36.683,25.317
Valldemossa-07063,1.158,1.110,2.016,39,2,46.046,30.464,35.750,24.841
Bunyola-07010,4.346,4.048,7.490,62,3,42.580,31.435,33.285,25.715
Puigpunyent-07045,1.199,1.124,2.035,75,4,41.013,31.038,31.915,25.931
Santa María del Camí-07056,4.424,4.127,7.623,79,5,40.509,28.326,31.549,23.357
Sant Joan de Labritja-07050,2.767,2.612,6.948,86,6,39.924,25.052,31.974,20.734
Santa Eugènia-07053,1.066,1.006,1.899,129,7,37.861,28.622,29.807,23.796
Alaró-07001,3.157,2.941,6.037,130,8,37.789,26.937,29.648,22.185
Marratxí-07036,23.563,22.059,40.079,137,9,37.660,29.150,29.600,23.944
Santa Eulalia del Río-07054,19.460,18.486,41.706,139,10,37.586,24.996,29.782,20.823
Sant Josep de sa Talaia-07048,14.712,14.022,29.664,149,11,37.132,25.897,29.447,21.444
Calvià-07011,28.009,26.518,53.491,152,12,36.941,24.240,29.089,20.328
Llubí-07030,1.355,1.256,2.505,155,13,36.869,25.152,29.147,20.993
Formentera-07024,4.994,4.766,11.389,158,14,36.711,23.716,29.138,19.928
Eivissa-07026,29.482,28.214,53.717,169,15,36.346,25.508,28.704,21.131
Sencelles-07047,1.969,1.835,3.900,170,16,36.330,26.878,28.672,22.162
Sant Lluís-07052,3.664,3.464,7.130,213,17,35.176,26.055,27.997,21.789
Palma de Mallorca-07040,248.358,234.348,431.521,224,18,34.970,25.222,27.649,21.119
Sóller-07061,7.413,7.041,13.744,247,19,34.572,24.798,27.744,20.839
Montuïri-07038,1.731,1.592,3.216,252,20,34.459,26.897,27.457,22.478
Mancor de la Vall-07034,920,868,1.702,269,21,34.206,28.647,27.028,23.508
Pollença-07042,9.528,8.975,17.594,270,22,34.187,23.951,27.517,20.123
Selva-07058,2.458,2.282,4.294,273,23,34.150,26.498,27.138,22.165
Costitx-07017,737,688,1.516,283,24,34.002,26.242,27.223,21.660
Llucmajor-07031,21.971,20.756,39.912,288,25,33.867,25.389,26.907,21.187
"Salines, Ses-07059",2.900,2.741,5.129,296,26,33.633,23.097,27.100,19.424
Campanet-07012,1.606,1.503,2.824,305,27,33.420,25.636,26.721,21.317
Binissalem-07008,4.968,4.643,9.281,308,28,33.410,25.881,26.672,21.505
Algaida-07004,3.386,3.160,6.311,316,29,33.318,26.884,26.595,22.426
Búger-07009,614,583,1.199,355,30,32.713,25.584,26.236,21.109
Maó-Mahón-07032,16.779,15.760,30.419,358,31,32.702,24.680,26.276,20.694
Sant Antoni de Portmany-07046,14.415,13.635,28.609,363,32,32.668,23.650,26.294,19.890
Consell-07016,2.490,2.303,4.399,418,33,32.008,26.524,25.642,22.187
Lloret de Vistalegre-07028,782,715,1.619,426,34,31.855,25.503,25.578,21.068
Andratx-07005,6.763,6.421,12.062,433,35,31.815,23.587,25.619,19.759
Santanyí-07057,6.896,6.539,12.887,434,36,31.805,22.266,25.709,18.958
Petra-07041,1.710,1.567,3.184,490,37,31.220,24.457,25.227,20.758
Alcúdia-07003,11.712,11.225,21.683,497,38,31.170,22.456,25.150,18.974
Porreres-07043,3.186,2.941,5.888,502,39,31.129,23.977,25.140,20.199
Sineu-07060,2.346,2.195,4.469,517,40,30.984,24.494,24.985,20.668
"Mercadal, Es-07037",2.640,2.497,6.215,525,41,30.907,23.366,25.117,19.732
Campos-07013,6.824,6.420,12.163,527,42,30.896,23.495,24.917,19.841
Artà-07006,4.674,4.445,8.387,537,43,30.812,22.538,24.907,19.051
Sant Joan-07049,1.289,1.185,2.228,541,44,30.771,23.517,24.957,20.108
"Castell, Es-07064",4.432,4.145,7.772,547,45,30.701,24.432,24.968,20.523
Maria de la Salut-07035,1.228,1.148,2.397,572,46,30.459,25.091,24.645,21.122
Ariany-07901,491,458,1.018,580,47,30.415,23.667,24.520,19.714
Felanitx-07022,10.742,9.833,18.850,628,48,30.118,22.711,24.573,19.271
Muro-07039,4.433,4.115,8.115,639,49,30.056,22.938,24.425,19.324
"Migjorn Gran, Es-07902",820,762,1.690,662,50,29.940,22.997,24.028,19.520
Manacor-07033,25.118,23.374,47.777,675,51,29.825,22.454,24.131,18.999
Alaior-07002,5.609,5.229,10.042,676,52,29.822,23.612,24.234,19.871
Ciutadella de Menorca-07015,16.717,15.799,31.941,683,53,29.792,22.620,24.252,19.260
Santa Margalida-07055,7.288,6.905,13.757,685,54,29.771,22.691,24.200,19.158
Lloseta-07029,3.570,3.287,6.456,793,55,28.933,23.875,23.650,20.062
Ferreries-07023,2.842,2.695,5.114,822,56,28.682,23.176,23.355,19.427
Inca-07027,18.874,17.490,35.654,831,57,28.640,22.966,23.431,19.493
Vilafranca de Bonany-07065,1.975,1.821,3.816,848,58,28.544,23.459,23.225,19.746
"Pobla, Sa-07044",8.006,7.423,14.630,866,59,28.353,22.518,23.273,19.171
Sant Llorenç des Cardassar-07051,5.164,4.878,9.331,947,60,27.726,22.154,22.717,18.810
Capdepera-07014,7.024,6.736,12.860,1.059,61,26.950,21.340,22.269,18.219
Son Servera-07062,6.967,6.701,12.261,1.060,62,26.948,22.256,22.236,18.731
Agrupación municipios pequeños-07,1.157,1.101,2.586,-,-,35.017,25.081,27.694,21.004
Canarias,1.172.507,1.085.611,2.228.862,,,27.880,21.145,23.085,18.560
"Palmas, Las",613.611,568.670,1.154.453,,,28.554,21.494,23.506,18.759
Santa Brígida-35021,9.940,9.112,18.551,19,1,53.007,28.921,40.773,24.244
Teguise-35024,12.689,11.970,23.848,378,3,32.493,24.372,26.159,20.924
"Palmas de Gran Canaria, Las-35016",214.917,198.266,380.436,425,4,31.862,23.240,25.764,20.151
Tías-35028,10.226,9.541,21.462,700,11,29.639,20.694,24.413,18.241
San Bartolomé-35018,10.518,9.975,19.443,847,12,28.544,22.542,23.573,19.575
San Bartolomé de Tirajana-35019,27.624,25.698,54.116,872,14,28.305,20.596,23.430,18.058
Puerto del Rosario-35017,23.748,22.542,44.638,918,19,27.940,21.753,23.033,18.898
Haría-35010,2.633,2.463,5.567,994,21,27.386,22.276,22.808,19.412
Arucas-35006,21.645,19.619,38.936,1.013,22,27.265,22.669,22.599,19.701
Tinajo-35029,3.507,3.299,6.865,1.032,23,27.147,21.357,22.554,18.563
Agaete-35001,2.890,2.661,5.670,1.066,24,26.895,21.862,22.500,19.047
Valsequillo de Gran Canaria-35031,5.038,4.649,9.768,1.091,26,26.779,20.837,22.244,18.349
Telde-35026,56.444,52.094,102.867,1.107,27,26.661,21.197,22.137,18.500
Yaiza-35034,8.633,8.156,18.113,1.116,28,26.587,21.170,22.236,18.410
Firgas-35008,4.344,3.850,7.688,1.159,30,26.354,22.015,22.082,19.388
Antigua-35003,5.550,5.131,13.832,1.193,33,26.221,20.442,21.703,18.052
Teror-35027,6.676,6.031,12.878,1.256,35,25.845,21.339,21.573,18.733
Agüimes-35002,17.525,16.355,33.179,1.266,36,25.787,20.977,21.650,18.399
"Oliva, La-35014",12.539,11.811,29.693,1.271,37,25.766,20.057,21.626,17.715
Tuineje-35030,8.092,7.723,16.454,1.339,39,25.435,21.279,21.443,18.392
Moya-35013,4.129,3.656,7.987,1.368,40,25.267,20.172,21.328,17.813
Vega de San Mateo-35033,3.848,3.442,7.856,1.375,41,25.239,20.666,21.196,18.306
Santa María de Guía de Gran Canaria-35023,7.414,6.820,14.135,1.417,42,25.036,20.545,21.080,18.111
Gáldar-35009,13.270,12.147,24.811,1.426,43,24.982,20.446,21.063,18.089
Arrecife-35004,34.437,32.326,68.169,1.429,44,24.966,20.373,21.007,17.898
Ingenio-35011,17.635,16.255,32.747,1.573,52,24.170,20.618,20.520,18.110
Mogán-35012,9.909,9.229,21.175,1.587,54,24.084,19.488,20.436,17.256
Pájara-35015,10.594,10.098,21.614,1.646,55,23.845,21.082,20.314,18.304
Artenara-35005,320,295,1.029,1.758,60,23.324,19.554,19.710,17.238
Santa Lucía de Tirajana-35022,40.635,37.698,77.098,1.824,64,23.027,19.878,19.678,17.563
Valleseco-35032,1.676,1.496,3.741,1.834,65,23.002,18.803,19.758,17.067
Tejeda-35025,565,513,1.826,2.100,72,21.753,19.383,18.859,17.406
"Aldea de San Nicolás, La-35020",3.682,3.458,7.449,2.314,82,20.658,16.538,17.843,15.449
Agrupación municipios pequeños-35,319,291,812,-,-,25.804,20.870,21.762,18.109
Santa Cruz de Tenerife,558.896,516.941,1.074.409,,,27.139,20.671,22.622,18.311
"Rosario, El-38032",9.941,9.295,17.983,142,2,37.352,27.012,29.423,22.802
Santa Cruz de Tenerife-38038,120.011,111.563,211.359,514,5,31.004,23.461,25.140,20.332
Tegueste-38046,6.618,6.120,11.405,563,6,30.557,24.543,24.880,21.112
Candelaria-38011,16.030,14.916,28.795,569,7,30.485,24.681,24.911,21.259
"Sauzal, El-38041",4.983,4.497,9.278,641,8,30.048,22.129,24.443,19.364
Tacoronte-38043,13.414,12.205,24.746,661,9,29.941,22.298,24.455,19.432
Breña Baja-38009,3.353,3.145,6.112,669,10,29.874,22.648,26.846,20.854
San Cristóbal de La Laguna-38023,87.219,80.713,160.258,864,13,28.375,22.492,23.291,19.552
Santa Cruz de la Palma-38037,8.758,8.185,15.565,878,15,28.253,21.140,25.605,19.587
Puerto de la Cruz-38028,15.510,14.172,31.377,902,16,28.024,20.081,23.254,17.966
San Sebastián de la Gomera-38036,5.140,4.839,9.562,914,17,27.956,21.929,23.146,19.158
Breña Alta-38008,4.178,3.860,7.428,917,18,27.941,20.338,25.306,18.983
Valverde-38048,2.494,2.320,5.268,956,20,27.629,22.369,22.877,19.651
Santa Úrsula-38039,8.386,7.545,15.386,1.085,25,26.811,19.527,22.136,17.502
Arafo-38004,3.068,2.776,5.776,1.154,29,26.390,21.790,21.925,19.018
"Paso, El-38027",4.185,3.856,8.156,1.179,31,26.260,18.721,23.897,17.528
Adeje-38001,22.871,21.476,50.549,1.186,32,26.255,19.774,21.823,17.609
"Matanza de Acentejo, La-38025",4.783,4.304,9.160,1.236,34,25.964,19.764,21.623,17.666
Güímar-38020,11.210,10.406,21.716,1.296,38,25.667,21.483,21.431,18.691
"Orotava, La-38026",22.848,20.520,42.585,1.447,45,24.882,19.357,20.914,17.316
Villa de Mazo-38053,2.592,2.411,5.070,1.464,46,24.795,19.714,22.573,18.277
"Llanos de Aridane, Los-38024",11.282,10.432,20.283,1.479,47,24.728,18.318,22.596,17.181
San Miguel de Abona-38035,10.411,9.799,23.138,1.500,48,24.563,19.837,20.706,17.626
Santiago del Teide-38040,5.004,4.639,12.373,1.508,49,24.496,19.403,20.662,17.275
Puntallana-38030,1.344,1.256,2.699,1.541,50,24.309,19.097,22.178,17.907
Alajeró-38003,854,808,2.071,1.561,51,24.235,20.564,20.403,18.217
Granadilla de Abona-38017,26.743,25.298,57.143,1.585,53,24.087,19.584,20.304,17.468
"Pinar de El Hierro, El-38901",843,774,2.010,1.654,56,23.818,19.386,20.203,17.440
Arico-38005,4.394,4.128,9.120,1.666,57,23.775,19.610,20.089,17.426
Frontera-38013,1.912,1.751,4.528,1.698,58,23.608,18.345,19.886,16.813
San Andrés y Sauces-38033,2.457,2.227,4.296,1.712,59,23.550,17.561,21.636,16.681
Fasnia-38012,1.284,1.187,3.066,1.800,61,23.156,19.767,19.656,17.653
Tijarafe-38047,1.367,1.282,2.684,1.801,62,23.151,18.337,21.303,17.127
Arona-38006,40.723,38.413,86.624,1.813,63,23.060,18.974,19.643,16.999
Vilaflor-38052,826,771,1.871,1.861,66,22.856,18.470,19.662,16.653
"Realejos, Los-38031",20.613,18.407,37.522,1.874,67,22.813,18.849,19.484,16.967
Guía de Isora-38019,10.712,10.113,22.642,1.914,68,22.603,19.502,19.381,17.339
Agulo-38002,420,396,1.108,1.926,69,22.572,18.759,19.388,16.781
Valle Gran Rey-38049,1.778,1.694,4.854,1.927,70,22.572,17.756,19.629,16.269
Garachico-38015,2.330,2.073,4.924,1.993,71,22.277,17.927,19.171,16.406
"Guancha, La-38018",2.876,2.555,5.593,2.106,73,21.727,18.471,18.776,16.806
Fuencaliente de la Palma-38014,968,916,1.900,2.113,74,21.701,18.428,19.951,17.238
San Juan de la Rambla-38034,2.476,2.204,4.904,2.129,75,21.641,18.536,18.723,16.786
Icod de los Vinos-38022,12.414,11.051,24.285,2.148,76,21.552,17.923,18.555,16.410
Tazacorte-38045,2.170,1.998,4.559,2.163,77,21.482,17.049,19.795,15.994
Hermigua-38021,815,757,1.887,2.179,78,21.387,18.158,18.581,16.419
"Victoria de Acentejo, La-38051",4.895,4.365,9.313,2.189,79,21.330,18.469,18.378,16.691
Vallehermoso-38050,978,902,2.954,2.235,80,21.049,17.707,18.324,16.133
Buenavista del Norte-38010,2.256,2.023,4.680,2.259,81,20.886,17.259,18.247,15.968
"Silos, Los-38042",2.171,1.943,4.705,2.391,83,20.223,16.963,17.579,15.747
"Tanque, El-38044",1.373,1.248,2.787,2.408,84,20.146,17.858,17.536,16.378
Puntagorda-38029,1.001,926,2.355,2.409,85,20.136,16.435,18.563,15.548
Barlovento-38007,959,879,2.014,2.452,86,19.972,17.286,18.380,16.248
Garafía-38016,655,602,1.983,2.640,87,18.646,16.115,17.353,15.207
Cantabria,357.766,319.734,591.563,,,30.116,24.438,24.501,20.866
Cantabria,357.766,319.734,591.563,,,30.116,24.438,24.501,20.866
Santa Cruz de Bezana-39073,8.834,8.083,13.832,163,1,36.520,29.498,28.811,24.556
Ribamontán al Mar-39061,2.605,2.352,4.615,166,2,36.434,24.258,28.962,20.599
Liendo-39036,682,618,1.226,211,3,35.241,27.343,27.765,23.029
Villaescusa-39099,2.340,2.083,3.953,219,4,35.013,24.754,28.093,21.084
Castro-Urdiales-39020,19.003,16.958,33.482,257,5,34.356,28.538,27.198,23.598
Piélagos-39052,16.489,14.915,26.783,334,6,33.047,26.656,26.333,22.401
Santander-39075,109.645,99.671,174.101,335,7,33.046,26.066,26.559,22.176
Suances-39085,5.615,4.947,9.092,544,8,30.758,24.831,24.847,21.156
Arnuero-39006,1.257,1.122,2.279,593,9,30.330,22.126,24.605,19.223
Argoños-39005,1.130,1.009,1.872,595,10,30.327,25.397,24.633,21.550
Marina de Cudeyo-39040,3.311,2.976,5.190,606,11,30.268,25.585,24.671,21.662
Ribamontán al Monte-39062,1.454,1.308,2.538,607,12,30.267,24.086,24.538,20.531
Guriezo-39030,1.366,1.224,2.458,664,13,29.901,24.920,24.214,20.896
Miengo-39044,3.384,3.040,5.221,673,14,29.852,24.907,24.375,21.074
Santillana del Mar-39076,2.680,2.368,4.211,707,15,29.528,24.058,24.084,20.610
Polanco-39054,3.770,3.301,6.239,739,16,29.305,24.691,23.805,21.018
Camargo-39016,19.143,17.003,30.422,778,17,29.035,24.641,23.820,20.942
Limpias-39038,1.179,1.060,1.991,815,18,28.732,24.130,23.627,20.686
Medio Cudeyo-39042,4.620,4.094,7.686,833,19,28.631,24.110,23.513,20.446
Penagos-39048,1.278,1.136,2.254,875,20,28.280,24.121,23.360,20.569
Entrambasaguas-39028,3.551,3.257,5.646,889,21,28.136,23.766,23.026,20.302
"Astillero, El-39008",11.205,9.939,18.467,897,22,28.092,24.125,23.128,20.626
Campoo de Enmedio-39027,2.439,2.120,3.736,904,23,28.021,25.034,23.127,21.347
Hermandad de Campoo de Suso-39032,834,757,1.616,924,24,27.899,24.312,22.916,20.863
Mazcuerras-39041,1.263,1.121,2.093,933,25,27.807,23.248,22.742,20.059
Reocín-39060,5.168,4.467,8.400,943,26,27.749,23.800,22.903,20.239
Reinosa-39059,6.096,5.283,8.566,958,27,27.625,24.498,23.023,21.098
Hazas de Cesto-39031,1.028,934,1.867,967,28,27.583,22.868,22.650,19.384
Noja-39047,1.369,1.234,2.700,980,29,27.506,20.830,22.536,18.128
Bárcena de Cicero-39009,2.881,2.592,4.741,988,30,27.431,23.352,22.649,20.046
Colindres-39023,5.056,4.540,8.540,1.000,31,27.362,23.067,22.551,19.795
Puente Viesgo-39056,1.639,1.430,2.881,1.011,32,27.269,24.012,22.475,20.420
Liérganes-39037,1.405,1.253,2.390,1.015,33,27.246,22.499,22.568,19.513
Laredo-39035,6.120,5.593,10.752,1.023,34,27.205,22.613,22.620,19.423
Cabezón de la Sal-39012,5.288,4.653,8.162,1.034,35,27.140,22.933,22.425,19.649
Torrelavega-39087,31.200,26.878,51.663,1.052,36,27.000,22.940,22.452,19.824
Santa María de Cayón-39074,5.705,5.102,9.367,1.063,37,26.931,23.477,22.296,19.986
"Corrales de Buelna, Los-39025",6.854,5.723,10.813,1.097,38,26.733,23.694,22.384,20.462
Cartes-39018,3.551,3.145,5.865,1.106,39,26.662,22.944,22.061,19.685
Santoña-39079,5.938,5.385,10.916,1.134,40,26.497,21.251,22.038,18.507
Ampuero-39002,2.655,2.345,4.477,1.135,41,26.494,22.365,22.062,19.308
San Felices de Buelna-39069,1.389,1.161,2.376,1.144,42,26.459,23.193,22.167,19.965
Comillas-39024,1.136,1.025,2.146,1.165,43,26.316,21.286,21.706,18.381
Valdáliga-39091,1.125,995,2.152,1.175,44,26.286,20.644,21.729,18.021
Castañeda-39019,1.997,1.814,3.252,1.177,45,26.268,23.359,21.765,19.729
Voto-39102,1.659,1.489,2.945,1.194,46,26.219,22.810,21.770,19.450
Santiurde de Toranzo-39078,1.014,879,1.739,1.217,47,26.074,23.412,21.746,19.977
San Vicente de la Barquera-39080,2.290,2.059,3.992,1.221,48,26.027,20.745,21.601,18.139
Alfoz de Lloredo-39001,1.379,1.198,2.499,1.283,49,25.735,21.572,21.489,18.675
Riotuerto-39064,1.004,884,1.675,1.289,50,25.704,22.046,21.496,18.963
Bareyo-39011,1.200,1.078,2.133,1.309,51,25.620,21.974,21.302,18.603
Ramales de la Victoria-39057,1.697,1.519,3.061,1.330,52,25.502,21.695,21.227,18.737
Villacarriedo-39098,856,769,1.685,1.366,53,25.275,20.943,21.040,18.070
Potes-39055,781,738,1.353,1.397,54,25.159,19.047,20.910,17.013
Ruente-39066,557,492,1.072,1.399,55,25.137,21.589,20.924,19.085
Meruelo-39043,1.227,1.110,2.311,1.445,56,24.892,21.927,20.653,18.644
Cillorigo de Liébana-39022,742,688,1.362,1.487,57,24.654,19.448,20.755,16.968
Solórzano-39084,543,483,1.115,1.488,58,24.648,21.271,20.656,18.512
Val de San Vicente-39095,1.546,1.411,2.796,1.511,59,24.485,20.087,20.566,17.697
Selaya-39082,1.103,985,1.846,1.555,60,24.261,21.008,20.370,18.224
Corvera de Toranzo-39026,1.209,1.069,2.139,1.602,61,24.018,21.124,20.258,18.277
Molledo-39046,830,705,1.480,1.686,62,23.662,20.697,20.160,18.345
Arenas de Iguña-39004,1.024,867,1.756,1.819,63,23.033,21.451,19.695,18.785
Villafufre-39100,513,459,1.020,1.821,64,23.030,19.324,19.400,16.925
Rionansa-39063,471,421,1.002,2.216,65,21.154,19.193,18.212,16.971
Soba-39083,488,440,1.076,2.387,66,20.240,16.256,17.152,15.585
Agrupación municipios pequeños-39,8.956,7.977,18.477,-,-,22.996,19.204,19.497,17.306
Castilla y León,1.526.787,1.369.003,2.388.342,,,28.311,23.176,23.244,19.895
Ávila,94.585,83.250,158.989,,,25.026,20.424,20.962,18.063
Ávila-05019,40.474,36.724,58.111,752,45,29.211,24.639,23.957,21.087
Arévalo-05016,5.076,4.480,7.830,1.294,107,25.677,21.453,21.463,18.683
"Navas del Marqués, Las-05168",2.984,2.457,5.590,1.688,168,23.661,19.714,20.049,17.702
Piedrahíta-05186,1.109,969,1.637,1.750,175,23.381,18.904,19.921,16.901
"Adrada, La-05002",1.401,1.215,2.796,1.856,183,22.877,18.775,19.279,16.947
"Barco de Ávila, El-05021",1.439,1.273,2.297,1.868,184,22.829,19.204,19.446,17.142
Arenas de San Pedro-05014,3.885,3.366,6.438,1.884,186,22.742,18.480,19.246,16.573
Navaluenga-05163,1.026,861,2.172,1.936,193,22.531,17.771,19.144,16.229
Sotillo de la Adrada-05240,2.399,2.050,5.003,1.980,200,22.316,17.992,18.918,16.442
Piedralaves-05187,1.177,994,2.150,2.051,205,21.936,16.811,18.777,15.693
"Barraco, El-05022",1.100,940,2.027,2.104,215,21.730,17.491,18.668,16.119
"Tiemblo, El-05241",2.346,1.934,4.526,2.134,220,21.619,18.264,18.580,16.638
Burgohondo-05041,548,463,1.249,2.227,227,21.109,17.936,18.201,16.741
Cebreros-05057,1.771,1.460,3.239,2.302,231,20.713,17.840,17.970,16.449
"Hoyo de Pinares, El-05102",1.218,1.004,2.183,2.413,235,20.123,17.231,17.400,15.862
Candeleda-05047,2.750,2.415,5.031,2.426,237,20.063,16.453,17.264,15.203
Casavieja-05054,731,614,1.394,2.482,238,19.792,16.708,17.063,15.620
Madrigal de las Altas Torres-05114,799,690,1.299,2.666,241,18.469,16.731,16.268,15.647
Agrupación municipios pequeños-05,22.352,19.341,44.017,-,-,20.615,16.923,17.822,15.802
Burgos,234.177,213.202,358.948,,,30.062,25.367,24.504,21.425
Cardeñajimeno-09074,729,673,1.169,132,4,37.743,30.453,29.402,24.610
Villagonzalo Pedernales-09434,1.186,1.095,1.882,385,14,32.425,26.881,26.212,22.347
Arcos-09023,1.125,1.053,1.835,387,15,32.413,28.856,26.145,23.693
Burgos-09059,127.115,116.720,175.895,414,18,32.076,26.996,25.931,22.611
Condado de Treviño-09109,882,826,1.489,453,22,31.656,28.906,25.260,23.581
Cardeñadijo-09073,963,896,1.430,492,25,31.216,27.909,25.038,23.022
Merindad de Río Ubierna-09906,684,638,1.411,496,26,31.171,26.396,25.053,21.907
Alfoz de Quintanadueñas-09907,1.279,1.197,2.133,546,29,30.749,26.748,25.088,22.333
Miranda de Ebro-09219,23.145,20.588,36.018,622,36,30.159,26.516,24.646,22.287
Villalbilla de Burgos-09439,914,855,1.514,654,38,30.002,25.942,24.388,22.059
Ibeas de Juarros-09177,822,754,1.445,718,42,29.442,25.832,24.191,21.979
Aranda de Duero-09018,22.830,20.415,33.757,760,47,29.157,25.175,23.882,21.198
