municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
Querol,544.0,305.0,239.0,7.53488677632291,72.19750158813623,128.0,394.0,127.0,Unknown,0.0,0.0,Unknown
Quesa,669.0,344.0,325.0,9.144557753942236,73.15826724497342,171.0,451.0,211.0,Unknown,1.56259537,0.0,Unknown
Quesada,5161.0,2625.0,2536.0,15.717971300508047,328.3502623416282,1906.0,4135.0,1168.0,17.642,0.0,0.0,Unknown
Quicena,291.0,139.0,152.0,30.09334483783026,9.669912120708654,88.0,234.0,49.0,Unknown,0.0,0.0,Unknown
Quijorna,3593.0,1800.0,1793.0,140.14352352896393,25.63800245294548,1415.0,2948.0,409.0,32.695,7.034456130000001,5.70245738,Unknown
Quiñonería,8.0,4.0,4.0,0.2079471561397113,38.47131236853809,0.0,4.0,4.0,Unknown,0.0,0.0,Unknown
Quintana de la Serena,4576.0,2309.0,2267.0,32.32946611566979,141.5427023640844,1752.0,3792.0,858.0,19.488,0.0,0.0,Unknown
Quintana del Castillo,718.0,399.0,319.0,4.610878254565867,155.7187070140074,112.0,410.0,338.0,Unknown,0.0,0.0,Unknown
Quintana del Marco,356.0,192.0,164.0,15.24288261158693,23.355162476248776,59.0,183.0,198.0,Unknown,0.0,0.0,Unknown
Quintana del Pidio,157.0,86.0,71.0,14.624672729805631,10.73528296329176,27.0,98.0,56.0,Unknown,0.0,0.0,Unknown
Quintana del Puente,290.0,160.0,130.0,24.849152217349346,11.670418268737793,83.0,194.0,58.0,Unknown,0.0,0.0,Unknown
Quintana Redonda,496.0,280.0,216.0,2.696769908954789,183.92373719129756,105.0,316.0,172.0,Unknown,0.0,0.0,Unknown
Quintana y Congosto,411.0,218.0,193.0,4.642787340181106,88.52440783642865,39.0,154.0,200.0,Unknown,0.0,0.0,Unknown
Quintanabureba,30.0,18.0,12.0,2.426394493064429,12.364024104798938,1.0,11.0,13.0,Unknown,0.0,0.0,Unknown
Quintanaélez,43.0,23.0,20.0,2.461321733414659,17.47028818550467,2.0,19.0,27.0,Unknown,0.0,0.0,Unknown
Quintanaortuño,274.0,150.0,124.0,49.16065324650156,5.573563040875555,92.0,239.0,28.0,Unknown,0.0,0.0,Unknown
Quintanapalla,117.0,60.0,57.0,7.370561304453583,15.873960634355488,23.0,75.0,36.0,Unknown,0.0,0.0,Unknown
Quintanar de la Orden,11129.0,5538.0,5591.0,126.65764303855336,87.86678587262547,4348.0,9003.0,1915.0,22.755,1.99186266,1.6361323714285714,Unknown
Quintanar de la Sierra,1596.0,840.0,756.0,26.642371694437283,59.90457675107176,445.0,1105.0,585.0,20.725,1.626506025,0.0,Unknown
Quintanar del Rey,7616.0,3933.0,3683.0,95.29893737461757,79.9169456639554,3221.0,6387.0,1202.0,19.488,2.023700895,1.05073316,Unknown
Quintanas de Gormaz,141.0,88.0,53.0,4.705874174070009,29.96255207521882,30.0,100.0,54.0,Unknown,0.0,0.0,Unknown
Quintanavides,74.0,43.0,31.0,6.343556399536204,11.665380638124438,14.0,55.0,24.0,Unknown,0.0,0.0,Unknown
Quintanilla de Arriba,160.0,89.0,71.0,5.698416423684113,28.07797607331715,41.0,99.0,59.0,Unknown,0.0,0.0,Unknown
Quintanilla de la Mata,117.0,71.0,46.0,8.577355971228869,13.640567138924228,28.0,85.0,29.0,Unknown,0.0,0.0,Unknown
Quintanilla de Onésimo,1031.0,550.0,481.0,18.68961809526489,55.16431607883999,301.0,767.0,252.0,Unknown,0.0,2.84455368,Unknown
Quintanilla de Onsoña,179.0,100.0,79.0,3.505864032195894,51.05731379088412,34.0,112.0,72.0,Unknown,0.0,0.0,Unknown
Quintanilla de Trigueros,105.0,50.0,55.0,3.25965049055701,32.212042457980694,21.0,68.0,37.0,Unknown,0.0,0.0,Unknown
Quintanilla de Urz,98.0,47.0,51.0,9.699008779741431,10.104125300380703,22.0,69.0,34.0,Unknown,0.0,0.0,Unknown
Quintanilla del Agua y Tordueles,357.0,193.0,164.0,9.97574751634964,35.78679185844457,65.0,222.0,161.0,Unknown,0.0,0.0,Unknown
Quintanilla del Coco,50.0,25.0,25.0,2.4816021330595293,20.148274106436137,10.0,38.0,19.0,Unknown,0.0,0.0,Unknown
Quintanilla del Molar,57.0,28.0,29.0,3.906595805611719,14.590708339501376,17.0,47.0,14.0,Unknown,0.0,0.0,Unknown
Quintanilla del Monte,104.0,62.0,42.0,4.787740257539057,21.722147486224944,27.0,69.0,36.0,Unknown,0.0,0.0,Unknown
Quintanilla del Olmo,42.0,23.0,19.0,3.305195579832578,12.707266177007137,5.0,21.0,17.0,Unknown,0.0,0.0,Unknown
Quintanilla San García,79.0,46.0,33.0,1.726679148256047,45.75256502042682,16.0,58.0,29.0,Unknown,0.0,0.0,Unknown
Quintanilla Vivar,872.0,476.0,396.0,65.16404490796099,13.381612532365516,281.0,695.0,108.0,Unknown,0.0,4.02355914,Unknown
Quintela de Leirado,614.0,272.0,342.0,19.659992167506008,31.23093817986448,100.0,314.0,297.0,Unknown,0.0,0.0,Unknown
Quinto,1937.0,981.0,956.0,16.37934686343192,118.25868370395726,668.0,1492.0,456.0,26.15,0.0,1.14599686,Unknown
Quiroga,3151.0,1481.0,1670.0,9.922459960172253,317.5623799589813,706.0,1982.0,1275.0,22.591,1.19047619,0.0,Unknown
Quirós,1207.0,701.0,506.0,5.939726520799176,203.20800895014963,216.0,785.0,409.0,23.949,0.0,2.34375,Unknown
Quiruelas de Vidriales,640.0,341.0,299.0,22.86098650197304,27.995292326722826,149.0,420.0,248.0,Unknown,0.0,0.0,Unknown
Quismondo,1633.0,827.0,806.0,105.85514108045804,15.426742464579917,532.0,1181.0,330.0,21.21,0.0,3.0641988,Unknown
Rábade,1524.0,754.0,770.0,294.69235431452324,5.17149487486684,443.0,1113.0,388.0,23.591,2.52659574,1.67738971,Unknown
Rabanales,499.0,263.0,236.0,6.2345807284978285,80.03745908992825,96.0,293.0,235.0,Unknown,0.0,0.0,Unknown
Rabanera,32.0,22.0,10.0,2.318020590103289,13.80488168941334,2.0,22.0,10.0,Unknown,0.0,0.0,Unknown
Rabanera del Pinar,98.0,60.0,38.0,2.9479118003768896,33.243871131921495,10.0,59.0,49.0,Unknown,0.0,0.0,Unknown
Rábano,169.0,89.0,80.0,6.1131086061463735,27.64550916535008,32.0,101.0,81.0,Unknown,0.0,0.0,Unknown
Rábano de Aliste,343.0,170.0,173.0,6.107694765533432,56.158667577102335,55.0,197.0,188.0,Unknown,0.0,0.0,Unknown
Rábanos,82.0,49.0,33.0,2.0179213736840045,40.63587465268642,15.0,49.0,34.0,Unknown,0.0,0.0,Unknown
Rabé de las Calzadas,232.0,116.0,116.0,22.95454954937904,10.106928890106492,56.0,151.0,57.0,Unknown,0.0,0.0,Unknown
Rabós,206.0,99.0,107.0,4.5636763273119225,45.139046949312736,48.0,126.0,53.0,Unknown,0.0,3.06234543,Unknown
Rada de Haro,53.0,34.0,19.0,1.6432152680992165,32.25383857424083,7.0,24.0,22.0,Unknown,0.0,0.0,Unknown
Rafal,4597.0,2275.0,2322.0,2938.4674531851347,1.5644209348029732,1920.0,3816.0,602.0,21.065,3.6680791500000005,3.13274355,Unknown
Ráfales,144.0,86.0,58.0,4.043957955569076,35.60867881964315,31.0,96.0,47.0,Unknown,0.0,0.0,Unknown
Rafelbunyol,9351.0,4594.0,4757.0,2227.172959985271,4.198596232984905,3367.0,7580.0,1349.0,28.858,5.725118992500001,3.5779183925,Unknown
Rafelcofer,1365.0,664.0,701.0,671.2885472115311,2.03340278285706,462.0,1045.0,313.0,22.851,3.85076183,0.0,Unknown
Rafelguaraf,2358.0,1169.0,1189.0,145.0029872923867,16.261733941006916,829.0,1862.0,508.0,20.938,0.0,1.62835249,Unknown
Ráfol de Salem,449.0,220.0,229.0,103.80801710706828,4.325292135547667,151.0,331.0,109.0,Unknown,0.0,0.0,Unknown
Rágama,210.0,106.0,104.0,6.632320770384142,31.663124759847356,53.0,142.0,81.0,Unknown,0.0,0.0,Unknown
Rágol,305.0,154.0,151.0,11.32903405996523,26.921977494781768,65.0,188.0,116.0,Unknown,0.0,0.0,Unknown
Rairiz de Veiga,1223.0,625.0,598.0,16.959405550007357,72.11337663892762,206.0,726.0,556.0,20.035,0.0,0.0,Unknown
Rajadell,549.0,278.0,271.0,12.016360171396084,45.687711767066325,172.0,422.0,117.0,Unknown,0.0,4.12371134,Unknown
Ramales de la Victoria,2902.0,1466.0,1436.0,89.23930000026004,32.519304835330885,867.0,2250.0,631.0,25.502,2.241593565,0.0,1.0
Ramirás,1507.0,705.0,802.0,37.058730834380185,40.665181080673264,271.0,787.0,753.0,19.493,0.0,0.0,Unknown
Ramiro,49.0,27.0,22.0,2.3115952987646824,21.197482113839573,5.0,21.0,26.0,Unknown,0.0,0.0,Unknown
Rapariegos,202.0,101.0,101.0,8.236988453994316,24.523525937692103,39.0,126.0,76.0,Unknown,0.0,0.0,Unknown
Rascafría,1754.0,955.0,799.0,11.74703750905102,149.31424188001048,487.0,1295.0,368.0,32.849,5.3386997,3.54429862,Unknown
Rasines,971.0,495.0,476.0,22.205254575825027,43.72838855255155,252.0,705.0,247.0,Unknown,0.0,0.0,Unknown
Rasquera,846.0,420.0,426.0,16.608256279528458,50.9385203215337,218.0,533.0,254.0,Unknown,0.0,0.0,Unknown
Rasueros,168.0,94.0,74.0,4.1312359821095965,40.66579607834738,24.0,93.0,88.0,Unknown,0.0,0.0,Unknown
Real,2250.0,1165.0,1085.0,122.85322043537197,18.31453821093467,774.0,1717.0,435.0,23.544,3.84615385,3.17736725,Unknown
real de gandia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25.67,Unknown,Unknown,Unknown
Real Sitio de San Ildefonso,5237.0,2560.0,2677.0,36.13588948833084,144.92517201468516,1753.0,4227.0,1040.0,29.179,4.2594110625,3.8018230375,Unknown
Rebollar,208.0,105.0,103.0,18.077554928032797,11.505980804818645,85.0,182.0,69.0,Unknown,0.0,0.0,Unknown
Rebollar,41.0,20.0,21.0,3.949965785593101,10.379836744293142,85.0,182.0,69.0,Unknown,0.0,0.0,Unknown
Rebolledo de la Torre,95.0,55.0,40.0,1.8808007507632716,50.51040093505219,17.0,66.0,46.0,Unknown,0.0,0.0,Unknown
Rebollo,73.0,38.0,35.0,5.224654793708174,13.972214984980583,11.0,48.0,36.0,Unknown,0.0,0.0,Unknown
Rebollosa de Jadraque,10.0,7.0,3.0,1.3042090143932177,7.667482657795071,0.0,8.0,4.0,Unknown,0.0,0.0,Unknown
Recas,4536.0,2487.0,2049.0,146.1032003680821,31.046547841336277,1798.0,3625.0,581.0,22.421,4.552773419999999,2.86008873,Unknown
Recuerda,71.0,42.0,29.0,1.0548786227605085,67.30632175880133,13.0,57.0,30.0,Unknown,0.0,0.0,Unknown
