municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,0.0,0.0,0.0,23.194,34.55052733604496,2.637703983157895,0.0,0.39097078784302153,0.2242549424609029,1.2104243409605575,0.08767713153163068,0.08767713153163068,0.36836393388886235,0.6490507362460941,0.9297375386033259,1.2104243409605575,-0.30088661879168443,0.19232069507949204
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,0.0,0.0,0.0,19.074,30.7990266898203,2.637703983157895,0.0,0.4986046511627907,0.19348837209302325,0.8925753621401632,0.0964742022714981,0.0964742022714981,0.29549949223866434,0.4945247822058306,0.6935500721729969,0.8925753621401632,-0.4075856177502666,0.3121033489402515
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,0.0,0.0,0.0,20.975,48.69775115325253,0.726556173,0.0,0.30518084066471163,0.2817204301075269,4.625973108296769,0.0859756776926392,0.0859756776926392,1.2209750353436717,2.355974392994704,3.4909737506457366,4.625973108296769,-0.35689607964674064,0.20206002626081632
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.32367149758454106,0.23832528180354268,0.8873097467740937,0.07713910087361044,0.07713910087361044,0.27968176234873127,0.48222442382385206,0.6847670852989729,0.8873097467740937,-0.23718411892174968,0.11708801564722124
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.2457914104838709,20.0,-8.407728485,43.355940085,33.057,6364.888022278336,3.2938821248387096,0.07722007722007722,0.24305815829354538,0.30335522349145305,30.833450705989556,0.06803929691661663,0.06803929691661663,7.759392149184851,15.450745001453086,23.142097853721324,30.833450705989556,4.753383665834227,-2.9715148145222368
A Estrada,20261.0,9736.0,10525.0,72.17121514546173,280.7351928211791,6024.0,14932.0,5729.0,23.865,1.186745952105263,0.1540588210526315,0.0,0.0,0.0,23.865,72.17121514546173,0.6704023865789472,0.0,0.28275998223187404,0.2973199743349292,7.467007862696278,0.08407019066012582,0.08407019066012582,1.9298046086691638,3.7755390266782016,5.621273444687239,7.467007862696278,-0.17364584457445323,0.07273623398730358
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,2.0,-7.068959850000001,43.125912150000005,19.939,7.590808397144948,0.867022615,0.007722007722007722,0.4344951923076923,0.20162259615384615,0.7148282090295863,0.08692756954898255,0.08692756954898255,0.2439027294191335,0.4008778892892844,0.5578530491594353,0.7148282090295863,-0.20248566541793012,0.1804072264927691
A Guarda,9991.0,4896.0,5095.0,477.9872766412933,20.90223001374526,3223.0,7805.0,2208.0,24.585,3.16657707375,0.0,0.0,0.0,0.0,24.585,477.9872766412933,1.583288536875,0.0,0.22099889900910819,0.32259033129816833,13.669967881243952,0.07129210804787865,0.07129210804787865,3.470961051346897,6.870629994645915,10.270298937944935,13.669967881243952,-0.15289114632429418,0.023469693377529438
A Gudiña,1232.0,625.0,607.0,7.193416628233302,171.26771097402408,301.0,862.0,446.0,20.73,0.0,3.14926661,0.0,0.0,0.0,20.73,7.193416628233302,1.574633305,0.0,0.362012987012987,0.24431818181818182,0.39126449866009394,0.08844635478158205,0.08844635478158205,0.16415089075121003,0.23985542672083798,0.315559962690466,0.39126449866009394,-0.3906905483979381,0.24445985437028203
A Illa de Arousa,4951.0,2435.0,2516.0,843.3938879825445,5.8703294754045805,1676.0,3943.0,1015.0,18.933,5.06873648,0.0,0.0,0.0,0.0,18.933,843.3938879825445,2.53436824,0.0,0.20500908907291457,0.3385174712179358,10.832901144476546,0.06939915840965559,0.06939915840965559,2.7602746549263784,5.451150151443101,8.142025647959823,10.832901144476546,-0.2641287220304933,0.08954830653280427
A Lama,2410.0,1195.0,1215.0,21.563309712790616,111.7639189947947,570.0,1570.0,860.0,19.648,0.0,0.0,0.0,0.0,0.0,19.648,21.563309712790616,2.637703983157895,0.0,0.35684647302904565,0.23651452282157676,0.6532273476509158,0.0843993732890274,0.0843993732890274,0.2266063668794995,0.3688133604699716,0.5110203540604438,0.6532273476509158,-0.4099143610634815,0.25398372874349606
A Laracha,11521.0,5669.0,5852.0,91.44153580180844,125.99307195551444,3255.0,8357.0,2945.0,25.63,1.5737127027272726,0.4649021818181818,0.0,0.0,0.0,25.63,91.44153580180844,1.0193074422727273,0.0,0.25562017186008157,0.28252755837166915,7.030870471344587,0.0722197430261753,0.0722197430261753,1.8118824251057781,3.551545107185381,5.291207789264984,7.030870471344587,-0.19055104071712917,0.0640387569327215
A Merca,1939.0,968.0,971.0,38.02828716578168,50.98836010012925,354.0,1123.0,788.0,21.877,0.0,1.44230769,0.0,0.0,0.0,21.877,38.02828716578168,0.721153845,0.0,0.406395048994327,0.18256833419288293,3.9818758209822622,0.07419486711912933,0.07419486711912933,1.0511151055849126,2.028035344050696,3.004955582516479,3.9818758209822622,-0.34567496408908344,0.22158665620154944
A Mezquita,1006.0,528.0,478.0,9.647647137151983,104.2741287796492,234.0,620.0,419.0,19.833,0.0,0.0,0.0,0.0,0.0,19.833,9.647647137151983,2.637703983157895,0.0,0.4165009940357853,0.23260437375745527,0.30074049676752973,0.09687995288705145,0.09687995288705145,0.14784508885717101,0.1988102248272906,0.24977536079741014,0.30074049676752973,-0.4054745612544176,0.2789024543912023
A Pastoriza,2918.0,1474.0,1444.0,16.675260945076666,174.9897653542587,748.0,1993.0,1063.0,21.966,0.0,0.0,0.0,0.0,0.0,21.966,16.675260945076666,2.637703983157895,0.0,0.36429061000685403,0.2563399588759424,0.5691945829528682,0.09338223998804894,0.09338223998804894,0.21233532572925373,0.33128841147045857,0.45024149721166334,0.5691945829528682,-0.3428194050255132,0.21534341547917446
A Peroxa,1826.0,906.0,920.0,33.49310226972829,54.51868821510672,346.0,1096.0,775.0,20.565,0.0,0.0,0.0,0.0,0.0,20.565,33.49310226972829,2.637703983157895,0.0,0.4244249726177437,0.18948521358159912,1.0421041481605344,0.08042225658583751,0.08042225658583751,0.32084272947951176,0.5612632023731859,0.8016836752668601,1.0421041481605344,-0.3777993391888649,0.2543345555011754
A Pobra de Trives,2015.0,1000.0,1015.0,23.93237176523878,84.1955832779909,482.0,1359.0,759.0,23.508,1.31313667,0.0,0.0,0.0,0.0,23.508,23.93237176523878,0.656568335,0.0,0.3766749379652605,0.2392059553349876,3.132848246300868,0.09010288838672734,0.09010288838672734,0.8507892278652625,1.6114755673437975,2.372161906822333,3.132848246300868,-0.305861839621222,0.19150885602735715
A Pobra do Brollón,1615.0,794.0,821.0,9.138827850374428,176.7185055284559,266.0,871.0,814.0,21.871,0.0,0.0,0.0,0.0,0.0,21.871,9.138827850374428,2.637703983157895,0.0,0.5040247678018576,0.16470588235294117,0.31441369257717444,0.08301584410854125,0.08301584410854125,0.14086530622569954,0.19871476834285784,0.25656423046001614,0.31441369257717444,-0.33582195247220276,0.25909503077718243
A Pobra do Caramiñal,9291.0,4543.0,4748.0,287.01050660088896,32.37163722692521,2894.0,7218.0,2172.0,25.581,2.4021207185714286,0.5,0.0,0.0,0.0,25.581,287.01050660088896,1.4510603592857143,0.0,0.2337746206005812,0.31148423205252396,11.578898975288878,0.07281710817114219,0.07281710817114219,2.949337574950576,5.82585804173001,8.702378508509444,11.578898975288878,-0.1690229991597949,0.04088687992362817
A Pontenova,2207.0,1058.0,1149.0,16.246235762527967,135.84685291164232,496.0,1459.0,824.0,23.019,1.12092598,0.0,0.0,0.0,0.0,23.019,16.246235762527967,0.56046299,0.0,0.3733574988672406,0.2247394653375623,2.507925287364676,0.08390816467519319,0.08390816467519319,0.6899124453475638,1.2959167260199345,1.9019210066923051,2.507925287364676,-0.3210053007934956,0.19754677709773474
A Rúa,4245.0,2109.0,2136.0,118.21328033920476,35.9096709592972,1166.0,3042.0,1317.0,26.702,1.7448162320000002,0.0,0.0,0.0,0.0,26.702,118.21328033920476,0.8724081160000001,0.0,0.3102473498233215,0.2746760895170789,9.718533491159903,0.08521752883250715,0.08521752883250715,2.4935465194143562,4.901875509996205,7.310204500578054,9.718533491159903,-0.1968700266602267,0.0901139805492706
Abadín,2297.0,1144.0,1153.0,11.745771388858964,195.55974009325075,462.0,1389.0,1039.0,18.664,0.0,0.0,0.0,0.0,0.0,18.664,11.745771388858964,2.637703983157895,0.0,0.4523291249455812,0.20113191118850673,0.3433887945016239,0.0909778213865296,0.0909778213865296,0.15408056466530318,0.21718330794407675,0.28028605122285033,0.3433887945016239,-0.422545762190836,0.30222472173662257
Abanilla,6116.0,3099.0,3017.0,25.95725119164008,235.6181690752274,1979.0,4499.0,1564.0,22.315,0.52868077,0.3823238616666666,0.0,0.0,0.0,22.315,25.95725119164008,0.45550231583333334,0.0,0.25572269457161545,0.3235775016350556,4.3314296429540375,0.08274611062086773,0.08274611062086773,1.1449169937041601,2.2070878767874524,3.2692587598707448,4.3314296429540375,-0.3254560681878942,0.1654951160097138
Abarán,13066.0,6531.0,6535.0,113.58034174100013,115.03751265157048,5041.0,10785.0,2245.0,21.57,1.74554629,0.5151806,0.0,0.0,0.0,21.57,113.58034174100013,1.130363445,0.0,0.17181999081585794,0.3858105005357416,6.411549980283667,0.06628995665871268,0.06628995665871268,1.6526049625649513,3.2389199684711896,4.8252349743774285,6.411549980283667,-0.29033082991820364,0.11486425283838692
Abegondo,5494.0,2701.0,2793.0,65.48556953419923,83.8963460053716,1418.0,3819.0,1635.0,27.317,0.0,1.916178535,1.0,-8.2884472,43.2274762,27.317,65.48556953419923,0.9580892675,0.003861003861003861,0.29759737895886423,0.25809974517655626,6.134544429185373,0.07651324471049971,0.07651324471049971,1.591021040829218,3.1055288369479364,4.620036633066655,6.134544429185373,-0.09500386115651759,0.03047660509188765
Abenójar,1339.0,691.0,648.0,3.162260031032358,423.4313392510189,421.0,984.0,411.0,19.356,0.0,0.0,0.0,0.0,0.0,19.356,3.162260031032358,2.637703983157895,0.0,0.30694548170276326,0.3144137415982076,0.09723199531579022,0.09650787736882997,0.09650787736882997,0.09668890685557002,0.09686993634231009,0.09705096582905016,0.09723199531579022,-0.4319709504042206,0.2612493086167209
Abla,1258.0,646.0,612.0,27.80451342802707,45.24445296467337,378.0,891.0,344.0,18.721,0.0,0.0,0.0,0.0,0.0,18.721,27.80451342802707,2.637703983157895,0.0,0.27344992050874406,0.3004769475357711,0.7946279347451779,0.08216539741836666,0.08216539741836666,0.26028103175006945,0.4383966660817723,0.616512300413475,0.7946279347451779,-0.45230604063893276,0.2556529438778802
Abrera,12620.0,6373.0,6247.0,630.9373865978188,20.00198477387808,4757.0,10498.0,1836.0,34.28,5.538295231428571,3.76573961,0.0,0.0,0.0,34.28,630.9373865978188,4.6520174207142855,0.0,0.14548335974643423,0.37694136291600633,12.094396984353734,0.05483869590442057,0.05483869590442057,3.064728268016749,6.074617840129077,9.084507412241406,12.094396984353734,0.14263285040926083,-0.20909763511208201
Abrucena,1208.0,639.0,569.0,14.436421004209068,83.67724934371176,331.0,833.0,317.0,18.012,0.0,0.0,0.0,0.0,0.0,18.012,14.436421004209068,2.637703983157895,0.0,0.26241721854304634,0.2740066225165563,0.4055345536556354,0.07190405574316915,0.07190405574316915,0.15531168022128572,0.23871930469940228,0.32212692917751884,0.4055345536556354,-0.478754311706651,0.2632030265166723
Aceuchal,5467.0,2725.0,2742.0,86.6703058819413,63.07812052084968,2174.0,4431.0,1030.0,19.702,0.0,0.0,0.0,0.0,0.0,19.702,86.6703058819413,2.637703983157895,0.0,0.18840314614962503,0.3976586793488202,2.3845974916519497,0.07492014628302265,0.07492014628302265,0.6523394826252544,1.2297588189674862,1.807178155309718,2.3845974916519497,-0.3935801168218439,0.1946509175388908
Adamuz,4141.0,2122.0,2019.0,12.362027143641054,334.9774233532648,1524.0,3314.0,871.0,16.924,0.0,0.0,0.0,0.0,0.0,16.924,12.362027143641054,2.637703983157895,0.0,0.21033566771311277,0.36802704660709973,0.32738453360594755,0.0774092145845892,0.0774092145845892,0.13990304433992878,0.20239687409526838,0.264890703850608,0.32738453360594755,-0.48969472658599933,0.26657929543531306
Ademuz,1027.0,556.0,471.0,10.237862671576222,100.31390661756971,346.0,785.0,261.0,19.863,1.98019802,0.0,0.0,0.0,0.0,19.863,10.237862671576222,0.99009901,0.0,0.25413826679649465,0.33690360272638753,0.8290558903610294,0.08562009767437892,0.08562009767437892,0.27147904584604154,0.4573379940177042,0.6431969421893667,0.8290558903610294,-0.4279691342962772,0.23709041069465106
Ador,1772.0,931.0,841.0,128.1239775409735,13.830354270989767,415.0,1076.0,317.0,25.172,0.0,3.18610022,0.0,0.0,0.0,25.172,128.1239775409735,1.59305011,0.0,0.1788939051918736,0.23419864559819414,6.34978356496436,0.041896710301708544,0.041896710301708544,1.6188684239673714,3.1958401376330343,4.772811851298697,6.34978356496436,-0.28272364597280164,0.07568517262399942
Adra,25501.0,13058.0,12443.0,284.3106362345216,89.69414699970909,10527.0,21405.0,3454.0,20.359,2.1436112325,0.0,1.0,-3.0150334,36.7487676,20.359,284.3106362345216,1.07180561625,0.003861003861003861,0.13544566879730208,0.4128073408885926,10.788160752321748,0.05569708619205233,0.05569708619205233,2.738813002724476,5.4219289192569,8.105044835789325,10.788160752321748,-0.11409878505447285,0.002797398069445168
Agolada,2228.0,1115.0,1113.0,15.068523294355389,147.85788603682224,477.0,1432.0,938.0,20.217,0.0,0.0,0.0,0.0,0.0,20.217,15.068523294355389,2.637703983157895,0.0,0.42100538599640935,0.21409335727109516,0.4746245129054262,0.09013445651718459,0.09013445651718459,0.18625697061424498,0.28237948471130536,0.3785019988083658,0.4746245129054262,-0.3864732501239473,0.26436815261883695
Agoncillo,1153.0,636.0,517.0,33.04359509596844,34.89329767694298,341.0,860.0,245.0,25.847,3.62745098,3.28210425,0.0,0.0,0.0,25.847,33.04359509596844,3.4547776150000002,0.0,0.212489158716392,0.29575021682567215,0.9987942018055969,0.0628437147634776,0.0628437147634776,0.2968313365240074,0.5308189582845372,0.7648065800450671,0.9987942018055969,-0.2763531348538004,0.10185857912788901
Agost,4906.0,2474.0,2432.0,73.62182172861507,66.63785118065277,1672.0,3785.0,928.0,23.022,2.9567661533333336,2.1969252966666666,0.0,0.0,0.0,23.022,73.62182172861507,2.576845725,0.0,0.18915613534447615,0.34080717488789236,2.463529504029583,0.06446576809946272,0.06446576809946272,0.6642317020819928,1.2639976360645229,1.8637635700470527,2.463529504029583,-0.31733421442178944,0.12965599800602165
Agramunt,5464.0,2763.0,2701.0,68.84256073510433,79.3695054578902,1963.0,4327.0,1066.0,29.313,3.88762378,0.7575757575,4.0,1.09795485,41.7856229,29.313,68.84256073510433,2.32259976875,0.015444015444015444,0.195095168374817,0.3592606149341142,3.2947045666914243,0.06900753896161345,0.06900753896161345,0.8754317958940662,1.681856052826519,2.488280309758972,3.2947045666914243,0.2219725994419073,-0.1597085879196665
