municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,municipio_key,provincia
Rublacedo de Abajo,29.0,15.0,14.0,0.7379913823265137,39.29585181411965,7.0,26.0,10.0,21.137,0.0,0.0,2.0,rublacedo de abajo,Burgos
Rucandio,64.0,31.0,33.0,1.961189113401808,32.63326293352093,7.0,29.0,36.0,21.137,0.0,0.0,2.0,rucandio,Burgos
Rueda,1204.0,632.0,572.0,13.302907207159574,90.50653223770604,393.0,987.0,298.0,24.304,0.0,3.11764706,3.0,rueda,Valladolid
Rueda de Jalón,313.0,170.0,143.0,2.9151144924363592,107.37142599788751,88.0,228.0,97.0,20.966,0.0,0.0,1.0,rueda de jalon,Zaragoza
Rueda de la Sierra,40.0,28.0,12.0,0.7841490805965641,51.01070828211498,3.0,24.0,16.0,22.597,0.0,0.0,2.0,rueda de la sierra,Guadalajara
Ruente,1034.0,559.0,475.0,15.636295056290717,66.12819701071108,263.0,768.0,258.0,25.137,0.0,2.31389221,2.0,ruente,Cantabria
Ruesca,76.0,36.0,40.0,6.53231741709352,11.634462189655098,15.0,54.0,18.0,22.433,0.0,0.0,2.0,ruesca,Zaragoza
Ruesga,826.0,453.0,373.0,9.43076676464819,87.58566727536002,182.0,586.0,286.0,23.03,0.0,0.0,1.0,ruesga,Cantabria
Rugat,180.0,99.0,81.0,56.17959563962224,3.2040102451903363,34.0,104.0,58.0,24.464,0.0,0.0,1.0,rugat,Valencia/València
Ruidera,563.0,277.0,286.0,14.361106920257168,39.2031062177983,174.0,439.0,109.0,16.888,0.0,0.0,1.0,ruidera,Ciudad Real
Ruiloba,741.0,375.0,366.0,48.713536254265705,15.211377719167592,189.0,534.0,198.0,27.506,7.84313725,0.0,4.0,ruiloba,Cantabria
Rupià,296.0,148.0,148.0,55.694790131795685,5.31468022950707,87.0,205.0,64.0,33.031,0.0,4.24211565,1.0,rupia,Girona
Rupit i Pruit,296.0,149.0,147.0,6.030886734172534,49.08067636601247,67.0,193.0,86.0,35.454,0.0,2.74809588,3.0,rupit i pruit,Barcelona
Rus,3516.0,1792.0,1724.0,74.98430899106083,46.88980997903383,1303.0,2878.0,702.0,19.088,1.157407405,0.0,5.0,rus,Jaén
rusecu,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,rusecu,
Rute,9835.0,4918.0,4917.0,74.54636852938866,131.93130925113698,3662.0,7780.0,2077.0,20.011,0.9814386271428572,0.0,2.0,rute,Córdoba
Sa Pobla,13873.0,6998.0,6875.0,285.53930828185906,48.58525463088187,Unknown,161.0,50.0,31.22,5.020559506666667,3.8123737075,1.0,sa pobla,"Balears, Illes"
Sabadell,216204.0,105076.0,111128.0,5761.4503401837255,37.52596780919325,80040.0,172291.0,39443.0,33.377,7.497092358417722,1.6499812366455695,4.0,sabadell,Barcelona
Sabero,1108.0,567.0,541.0,44.42423811182906,24.94133939249185,244.0,828.0,333.0,23.832,0.0,0.0,2.0,sabero,León
