municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category,name_normalized,lat,lon
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,0.0,0.0,0.0,23.194,34.55052733604496,2.637703983157895,0.0,0.0039097078784302,0.002242549424609,1.2104243409605575,0.0876771315316306,0.0876771315316306,0.3683639338888623,0.6490507362460941,0.929737538603326,1.2104243409605575,-0.3008866187916844,0.192320695079492,4.4647580812683865,82.95792540607748,4.440734583869981,Very Low,Very High,a baña,,
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,0.0,0.0,0.0,19.074,30.7990266898203,2.637703983157895,0.0,0.0049860465116279,0.0019348837209302,0.8925753621401632,0.0964742022714981,0.0964742022714981,0.2954994922386643,0.4945247822058306,0.6935500721729969,0.8925753621401632,-0.4075856177502666,0.3121033489402515,3.241864201182125,91.28149536646828,3.250840670425386,Very Low,Very High,a bola,42.1564424,-7.9120198
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,0.0,0.0,0.0,20.975,48.69775115325253,0.726556173,0.0,0.0030518084066471,0.0028172043010752,4.625973108296769,0.0859756776926392,0.0859756776926392,1.2209750353436717,2.355974392994704,3.490973750645737,4.625973108296769,-0.3568960796467406,0.2020600262608163,17.60575888049332,81.34805201958318,17.58453351715821,Very Low,Very High,a cañiza,,
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.5138495,-7.0665105
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.3129127,-7.7418063
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.6478788,-7.60181
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.362733,-7.4607732
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.693,-8.7952851
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.1541549,-8.4806988
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.0971404,-8.0560661
