Municipality,Bank,Longitude,Latitude
Bagà,Caixa d'estalvis i Pensions de Barcelona,1.8622521,42.2531643
Móstoles,Banco Sabadell,-3.8820501,40.3507663
València,Banco Sabadell,-0.3699827,39.4834877
Vilafranca / Villafranca del Cid,Cajamar,-0.2572497,40.4263877
Proaza,Unicaja Banco,-6.0174894,43.2502852
Salvaterra De Miño,Caixabank,-8.5007463,42.0824344
Cambre,Caixabank,-8.3426591,43.2926739
Cambre,BBVA,-8.3425762,43.292718
Cambre,Banco Sabadell,-8.3420527,43.2926078
Cambre,Abanca,-8.3430853,43.2922737
Torredelcampo,Caja Rural de Jaén,-3.8975808,37.7704379
Gijón/Xixón,Banco Santander,-5.6662134,43.5367782
Gijón/Xixón,Laboral Kutxa,-5.665018,43.537782
Madrid,Banco Pichincha,-3.670711,40.3988984
Madrid,Banco Pichincha,-3.7369683,40.3893494
València,Banco Pichincha,-0.3728073,39.4646359
Sabadell,Caixabank,2.0851788,41.5699127
Torrent,Caixa Rural Torrent,-0.478258,39.428959
Torrent,Banco Santander,-0.472883,39.432079
Torrent,Agencia Financiera Liberbank,-0.467811,39.435669
Torrent,Caixabank,-0.475046,39.430214
Torrent,Banco Santander,-0.465267,39.436832
Torrent,Kutxabank,-0.4686774,39.4348357
Torrent,Caixabank,-0.4681497,39.4351782
Torrent,Ibercaja,-0.473332,39.431919
Torrent,Ibercaja,-0.462731,39.438519
Torrent,Banco Sabadell,-0.470295,39.433838
Torrent,Banco Sabadell,-0.46032,39.439362
Torrent,Banco Sabadell,-0.47835,39.429199
Torrent,Banco Sabadell,-0.476814,39.433563
Torrent,Banco Sabadell,-0.4661201,39.4364881
Torrent,Banco Sabadell,-0.4734866,39.4317602
Torrent,Caixa Rural Torrent,-0.470925,39.433392
Torrent,Caixabank,-0.467756,39.435776
Torrent,Banco Santander,-0.4760478,39.4324943
Torrent,Caixabank,-0.478774,39.428398
Torrent,Caixa Rural Torrent,-0.469469,39.43251
Torrent,Banco Santander,-0.4617374,39.4390039
Torrent,Caixa Rural Torrent,-0.4658918,39.4362694
Torrent,Caixa Rural Torrent,-0.4778253,39.4346169
Torrent,Caixa Rural Torrent,-0.473575,39.433647
Torrent,Caixa Rural Torrent,-0.463261,39.43803
Torrent,BBVA,-0.4673649,39.4353088
Torrent,BBVA,-0.4758896,39.4301636
Torrent,Banco De Valencia,-0.4671785,39.435846
Torrent,Bankinter,-0.467029,39.4355264
Torrent,Caixabank,-0.472225,39.432533
Torrent,Caixabank,-0.4637939,39.4361451
Torrent,Caixabank,-0.4688951,39.434317
Granollers,Caixa d'Enginyers,2.2877947,41.6034997
Mataró,Caixa d'Enginyers,2.4437039,41.536897
Santander,Targobank,-3.8222463,43.4531602
Cartagena,BBVA,-0.712652,37.6410291
Cáceres,Banca Pueyo,-6.3746545,39.4556297
Cáceres,Unicaja Banco,-6.3746254,39.4610017
Cáceres,BBVA,-6.3790215,39.4643922
Cáceres,Unicaja Banco,-6.3770349,39.4663509
Cáceres,Caja Rural,-6.3824405,39.468928
Cáceres,Cajalmendralejo,-6.3826193,39.4697141
Cáceres,Unicaja Banco,-6.3789074,39.4680133
Cáceres,Unicaja Banco,-6.3787875,39.4687854
Cáceres,Banco Santander,-6.3785883,39.4691353
Cáceres,Cajalmendralejo,-6.3768564,39.471282
Cáceres,Unicaja Banco,-6.3760758,39.4708583
Cáceres,Banco Santander,-6.3765106,39.4718214
Cáceres,BBVA,-6.3761485,39.4722872
Cáceres,Abanca,-6.3731809,39.4741221
Cáceres,Banco Santander,-6.3374246,39.4799966
Dos Hermanas,Banco Santander,-5.9219715,37.2821331
Dos Hermanas,Banco Sabadell,-5.9226635,37.2829675
Ferrol,Abanca,-8.2320207,43.4843619
Cáceres,Caixabank,-6.378312,39.4708716
Jaén,Banco Santander,-3.7810183,37.798142
Soto de Luiña,Unicaja Banco,-6.2313981,43.5621509
Caspe,Ibercaja,-0.0392385,41.2366657
l'Hospitalet de Llobregat,Caixabank,2.1274487,41.3672089
l'Hospitalet de Llobregat,Caixabank,2.130231,41.3681933
Cardenete,Globalcaja,-1.6875957,39.7665453
l'Hospitalet de Llobregat,Caixabank,2.1263761,41.3647334
l'Hospitalet de Llobregat,Caixabank,2.1267026,41.3625656
l'Hospitalet de Llobregat,BBVA,2.1232395,41.3664032
l'Hospitalet de Llobregat,Banco Santander,2.1194584,41.365737
El Campu,Caja Rural,-5.344074,43.1825919
Caso,Unicaja Banco,-5.3447851,43.1815323
Galdakao,Bankoa - Crédit Agricole,-2.8465608,43.2300081
Granollers,Bankinter,2.2880556,41.604757
Badalona,Bankinter,2.2447917,41.4504009
Albondón,Caja Rural de Granada,-3.2109004,36.8269289
Jete,Caja Rural,-3.6691015,36.7955196
Pedreguer,Caixabank,0.0344178,38.7937014
Pedreguer,Banco Santander,0.0342509,38.7933115
Pedreguer,Banco Sabadell,0.0346676,38.7939122
Puebla de Don Fadrique,Caja Rural,-2.4358142,37.958616
Almuñécar,Caixabank,-3.6925767,36.734847
Carreña,Banco Santander,-4.8468843,43.3156218
Madrid,Caixabank,-3.7079794,40.3829761
Cózar,Globalcaja Cózar,-3.0733023,38.6604144
Santander,Unicaja Banco,-3.787584,43.4674081
Getxo,Banco Santander,-3.0143881,43.3249022
Oiartzun,Laboral Kutxa,-1.8600831,43.2992452
Leioa - Lejona,Kutxabank,-2.9983479,43.3329736
Santander,Liberbank,-3.8111831,43.4632524
Torre de Don Miguel,Santander,-6.5757017,40.2236483
Oronoz-Mugairi,Caixabank,-1.608896,43.138273
Santander,Cajaviva,-3.8041754,43.4639448
Burjassot,BBVA,-0.4104594,39.5084308
Madrid,Top5Credits,-3.6865485,40.4783297
Madrid,BBVA,-3.717589,40.4869604
Madrid,La Caixa,-3.7176668,40.4869604
Madrid,Caixabank,-3.7175193,40.4869624
Madrid,Banco Santander,-3.7172243,40.4869644
Córdoba,Caja Rural,-4.7917868,37.8854143
Burjassot,Caixabank,-0.4110088,39.5085792
Madrid,Fiare Banca Ética,-3.6677912,40.4266497
Gijón/Xixón,Banco Sabadell,-5.6628588,43.5414858
Sant Andreu de la Barca,BBVA,1.969139,41.4481942
La Pola de Siero/La Pola Siero,BBVA,-5.6623907,43.3914419
La Pola de Siero/La Pola Siero,Caja Rural,-5.6630774,43.3918557
Pola de Siero,Caja Rural,-5.6611109,43.3903848
Blanes,BBVA,2.7897761,41.6756151
Barcelona,Banco Santander,2.1238931,41.375541
Redondela,Abanca,-8.6087199,42.2837613
Barcelona,BBVA,2.126472,41.3754947
El Mármol,Caja Rural de Jaén,-3.4324382,38.0598575
Rusecu / Rioseco,Caja Rural,-5.4551687,43.2212777
Infiesto / L'Infiestu,Caja Rural,-5.3627305,43.3467667
Benicarló,Oficina Auditorio (1202) - Caixa Benicarló,0.4289921,40.4155074
Benicarló,Oficina Maestrat (1299) - Caixa Benicarló,0.4177913,40.4190816
Càlig,Oficina Càlig (1203) - Caixa Benicarló,0.3553917,40.4625224
Benicarló,Oficina Joan Carles I (1201) - Caixa Benicarló,0.4248532,40.4181569
Peníscola / Peñíscola,Oficina Peñíscola (1298) - Caixa Benicarló,0.401681,40.3590589
Benicarló,Extensión oficina (1299) - Caixa Benicarló,0.3958122,40.4362566
Benicarló,Serveis Centrals (SSCC) - Caixa Benicarló,0.424694,40.4183673
Montgat,Banco Sabadell,2.2811456,41.4687034
Padul,Santander,-3.6251573,37.0228425
Padul,La Caixa,-3.6250428,37.0228579
Montgat,Caixabank,2.278571,41.4667442
Bossòst,Caixabank,0.6916215,42.7831801
Felanitx,BBVA,3.1491636,39.4687568
Cerceda,Banco Santander,-8.4722153,43.1893325
Sevilla,Caja Rural del Sur,-5.9859711,37.360672
Santo Tomé,Caja Rural de Jaén,-3.1001505,38.0270038
Ferrol,Abanca,-8.2295363,43.4860197
Granada,Deutsche Bank,-3.60016,37.173397
Benidorm,Caixa Callosa,-0.1298501,38.5386751
Santander,Unicaja Banco,-3.8118163,43.4576148
Santander,Cajaviva,-3.816833,43.4546248
Lucena,CajaSur,-4.4924321,37.408502
León,Banco Santander,-5.57152,42.6108121
Madrid,Banco Sabadell,-3.7092707,40.4226042
Valladolid,Cajamar,-4.7144238,41.6595402
Rocafort,Santander,-0.4121609,39.5282841
Santander,Caixabank,-3.8133129,43.455583
Menàrguens,Caixabank,0.7444447,41.7300378
Barcelona,Caixabank,2.125222,41.3912703
Almazán,Caixabank,-2.5312476,41.4855667
Cervelló,Caixabank,1.9538441,41.3956313
Cervelló,BBVA,1.9587638,41.3963754
Vallirana,BBVA,1.9327249,41.3887602
Almussafes,Cajamar Caja Rural,-0.4129794,39.2927167
Almussafes,Bankia - Oficina 6095,-0.4141751,39.2930741
Almazán,Banco Santander,-2.5322279,41.4878217
Almazán,Unicaja Banco,-2.5320127,41.4875143
Almazán,Ibercaja,-2.5305465,41.4847249
Almazán,BBVA,-2.5325917,41.486635
Santander,BBVA,-3.7976385,43.4774053
Santander,Banco Santander,-3.7979335,43.4772586
Zaratán,Caixabank,-4.7835403,41.6603893
Vallirana,Banco Sabadell,1.931721,41.3884299
El Escorial,Caixabank,-4.1306361,40.5833342
El Escorial,Santander,-4.1314791,40.5842475
Gandesa,Caixa Rural,0.4379146,41.0527532
Alzira,Cajamar,-0.4388895,39.1499179
Alzira,BBVA,-0.4383177,39.1505629
Mataró,Caixabank,2.4479148,41.54789
Madrid,Bankinter,-3.6814025,40.4249046
Sevilla,Caixabank,-5.9753068,37.4053363
Sevilla,BBVA,-5.9757236,37.4058819
Sevilla,Caixabank,-5.9720431,37.4071888
Nueva,Unicaja Banco,-4.9380346,43.4376664
Aniñón,Ibercaja,-1.7060337,41.4449459
Madrid,Caixabank,-3.675277,40.4474806
Soto del Real,Caixabank,-3.7837555,40.7532883
Pozoblanco,Caja Rural de Jaén,-4.8493892,38.3804506
Madrid,Ibercaja,-3.66359,40.4419419
Benidorm,Banco Sabadell,-0.1326233,38.5436269
Ribadesella / Ribeseya,Banco Sabadell,-5.0585669,43.4624137
Getxo,Rural Kutxa,-3.014934,43.3252811
Oviedo / Uviéu,Caja Rural,-5.8370492,43.3624382
Garrucha,Banco Santander,-1.8211712,37.1828732
Getafe,Caixabank,-3.7228692,40.3175498
Getafe,Caixabank,-3.7244097,40.318836
Sevila,BBVA,-6.0090689,37.3813443
Albuñuelas,Caixabank,-3.6318257,36.9280466
Garrucha,BBVA,-1.8229636,37.1778955
Garrucha,Unicaja Banco,-1.8223187,37.1800866
Garrucha,Caixabank,-1.8212804,37.1825585
Alceda,Banco Santander,-3.9209836,43.1957066
Getxo,Kutxabank,-3.0117641,43.3557689
Getxo,Kutxabank,-3.009466,43.3540027
Gijón/Xixón,Banco Sabadell,-5.6809615,43.526514
Amorebieta-Etxano,Kutxabank,-2.7315791,43.2183304
Barcelona,BBVA,2.1721215,41.3809545
Espiel,Caja Rural,-5.0201537,38.1887055
Amorebieta-Etxano,Banco Santander,-2.7317111,43.2193063
Santa Eulalia del Campo,Caja Rural de Teruel Santa Eulalia,-1.3131302,40.5669445
Santalla d'Ozcos,Caja Rural,-7.0196553,43.2589404
Alzira,Banco Sabadell,-0.4381178,39.151396
Amorebieta-Etxano,Caixabank,-2.7340171,43.2196868
Amorebieta-Etxano,Rural Kutxa,-2.7337743,43.2203147
Amorebieta-Etxano,Laboral Kutxa,-2.7328342,43.2206278
Amorebieta-Etxano,BBVA,-2.7325823,43.2206987
Reus,Caixa de Guissona,1.1125665,41.1570502
les Borges Blanques,Banco Sabadell,0.8681193,41.5194778
les Borges Blanques,Santander,0.8677202,41.5200775
les Borges Blanques,BBVA,0.8690629,41.5204745
les Borges Blanques,Ibercaja,0.8695976,41.5201904
Mollet del Vallès,Cajamar,2.2113815,41.5374859
Talarrubias,Banca Pueyo Talarrubias,-5.2349682,39.0366811
tobarra,Liberbank-BCLM,-1.6889141,38.5927667
Castilblanco,Liber bank,-5.0902135,39.283891
Bienvenida,Banca Pueyo,-6.2086694,38.2982399
Tomiño,Abanca,-8.7440387,41.991491
Vilanova de la Barca,Caixabank,0.727666,41.6898122
Majadahonda,Banco Santander,-3.8494564,40.4719871
Gijón/Xixón,Banco Sabadell,-5.6445139,43.5298451
Las Palmas de Gran Canaria,BBVA,-15.4486294,28.0989617
Las Palmas de Gran Canaria,BBVA,-15.4327044,28.1095607
Las Palmas de Gran Canaria,BBVA,-15.4334435,28.1150425
Las Palmas de Gran Canaria,BBVA,-15.4531835,28.1031019
Alzira,Ibercaja,-0.4374642,39.1509863
Vega de Sariego,Caja Rural,-5.5586171,43.4107208
Santander,Unicaja Banco,-3.829787,43.461311
Majadahonda,Caixabank,-3.866905,40.4639946
Majadahonda,Kutxabank,-3.8666838,40.4630529
Amposta,Caixabank,0.5780754,40.7060155
Madrid,Caja Rural,-3.6980208,40.4320674
Bergara,BBVA,-2.4154373,43.1160546
Majadahonda,Caixabank,-3.8739219,40.4741957
Paracuellos de Jarama,Eurocaja Rural,-3.5306446,40.5044738
Parla,Ibercaja,-3.7504889,40.2308059
Tarragona,Caixabank,1.2470209,41.1144853
Benavides de Órbigo (León),Caixabank Agrobank,-5.8958341,42.5014315
Cájar,Caja Rural,-3.5689905,37.1265903
Nava,Caixabank,-5.505104,43.357961
Móstoles,Caixabank,-3.8677742,40.3299426
Granollers,Kutxabank,2.2907472,41.6104522
Sabadell,Kutxabank,2.1110454,41.5459003
Terrassa,Kutxabank,2.0074521,41.5605585
Barcelona,Kutxabank,2.1763556,41.4400118
Barcelona,Kutxabank,2.1901568,41.4339839
Badalona,Kutxabank,2.2481213,41.448471
Mataró,Kutxabank,2.4441641,41.5369814
Huétor Vega,Caixabank,-3.57094,37.1464448
Granada,Banco Santander,-3.60708,37.1857494
Galera,Caja Rural,-2.5506023,37.7436125
Barcelona,Caixa Guissona,2.1246281,41.388812
Barcelona,Banco Mediolanum,2.1264572,41.388674
Amposta,Banco Sabadell,0.5799398,40.708822
Agramunt,BBVA,1.0977389,41.785201
Agramunt,Caixabank,1.0983049,41.785171
Sant Quintí de Mediona,Banco Sabadell,1.6632946,41.4627539
Nerja,Unicaja Banco,-3.8763894,36.7448357
Madrid,Oficina BBVA,-3.6158525,40.4197561
Cambil,Caixabank,-3.5653704,37.6772687
Alegría-Dulantzi,Laboral Kutxa,-2.5110629,42.8420081
Alegría-Dulantzi,Kutxabank,-2.5112294,42.8419851
Gandia,Caixabank,-0.1899076,38.96677
Sevilla,Caixabank,-5.9859253,37.3591436
Sevilla,Banco Santander,-5.9859195,37.3609089
Medinaceli,Banco Santander,-2.4358337,41.1723536
Barcelona,Caixabank,2.1334257,41.3653709
Tàrrega,Banco Sabadell,1.1400304,41.6485701
Tàrrega,Banco Santander,1.1402963,41.6486253
A Coruña,Abanca,-8.4027279,43.3485207
Andoain,Rural Kutxa,-2.0206582,43.2169581
Torregrossa,Banco Santander,0.8309399,41.5805146
Barcelona,Banco Sabadell,2.1453959,41.3934944
Barcelona,Caixabank,2.1690109,41.3816353
Guadalajara,Ibercaja,-3.1765585,40.6292957
Algarinejo,Caixabank,-4.1580174,37.3252013
Miño,BBVA,-8.2073805,43.3457193
Sant Cebrià de Vallalta,BBVA,2.6033051,41.6198298
Bakio,Kutxabank,-2.8087652,43.4277736
Salvaterra de Miño,Banco Santander,-8.49768,42.082403
Dos Hermanas,Unicaja,-5.9232697,37.2823177
Madrid,Banco Santander,-3.6313804,40.4082289
Alegia,Kutxabank,-2.0983285,43.1005365
Barcelona,Banco Sabadell,2.1678578,41.3954341
Barcelona,Caixa Advocats,2.1650373,41.3961561
Barcelona,BBVA,2.1531664,41.3865799
Lleida,BBVA,0.6355467,41.6243842
Lleida,Banco Santander,0.6355072,41.6244323
Madrid,Caixabank,-3.6438505,40.473785
Colmenar Viejo,Ibercaja,-3.7676187,40.6593031
Madrid,CIODE,-3.6618457,40.4258014
Benavente,BBVA,-5.6782236,42.0035587
Benavente,Caixabank,-5.67833,42.0021853
Benavente,Caja Rural,-5.6812835,42.0022391
Oviedo,Laboral Kutxa,-5.8497578,43.3653491
El Prat de Llobregat,BBVA,2.0933779,41.3305524
Oviedo,Caja Rural,-5.8550321,43.3625006
Calasparra,Cajamar,-1.6975863,38.2308617
Villaquejida,Unicaja Banco,-5.5998874,42.1446749
Villaquejida,Abanca,-5.5986169,42.1472567
Cervià de les Garrigues,Caixabank,0.858697,41.4247893
Oviedo,Banco Sabadell,-5.8253038,43.3845963
Oviedo,BBVA,-5.824629,43.3841516
Oviedo,Caja Rural,-5.8243911,43.3842654
Oviedo,Unicaja Banco,-5.8247422,43.3849559
Oviedo,Abanca,-5.8542121,43.3625453
Tolosa,Laboral Kutxa,-2.0749237,43.1359478
Bell-lloc d'Urgell,Caixabank,0.7792675,41.6298274
Bell-lloc d'Urgell,BBVA,0.7803566,41.6301355
Vinaixa,Ibercaja,0.9742453,41.4287349
Vinaixa,Caixabank,0.9748716,41.428476
Puigverd de Lleida,BBVA,0.7337462,41.5435649
Artesa de Lleida,Caixabank,0.7035569,41.5516959
Madrid,Caixabank,-3.6662973,40.3862064
Madrid,BBVA,-3.6659139,40.3862748
Madrid,Banco Santander,-3.6663423,40.3857779
Lleida,BBVA,0.6631985,41.6084832
Oviedo,Kutxabank,-5.8469714,43.3610111
Oviedo,Caja Rural,-5.8504432,43.364543
Sevilla,Caixabank,-5.9728962,37.3852474
Ponferrada,Cajamar,-6.5991333,42.5479096
Carmona,Unicaja Banco,-5.6439317,37.470745
Errenteria,Bankinter,-1.9016816,43.3146966
Errenteria,Caixabank,-1.9015549,43.3146855
Errenteria,Abanca,-1.9025682,43.3140396
Bullas,Cajamar,-1.6692638,38.049688
Lleida,BBVA,0.6426364,41.6041083
Lleida,Banco Sabadell,0.6413999,41.6035817
Lleida,Banco Santander,0.6417746,41.6028163
Zaratán,BBVA,-4.7823591,41.6606656
Lleida,BBVA,0.6313295,41.6317378
Castelldans,CaixaViva,0.7661904,41.4973032
Castelldans,Caixabank,0.7656602,41.4982486
les Borges Blanques,Caixabank,0.8694531,41.521034
Hondarribia,Laboral Kutxa,-1.7932138,43.366079
Hondarribia,Banco Santander,-1.7924673,43.3659463
Gijón/Xixón,Caja Rural,-5.6702912,43.5380914
Lleida,Cajamar,0.6303347,41.6176404
Tarragona,Abanca,1.2473968,41.1165252
La Robla,Abanca,-5.6281254,42.8037805
vigo,BBVA,-8.7409737,42.2125635
Ferrol,Caixabank,-8.2330078,43.4839611
Talavera de la Reina,Ibercaja,-4.8280144,39.9619495
Borriana / Burriana,Ibercaja,-0.08481,39.8896758
Borriana / Burriana,Caixa Rural Burriana,-0.0843604,39.8894085
Santiago de Compostela,BBVA,-8.5318103,42.8817372
Lleida,Caixa Guissona,0.6135936,41.6178528
Orihuela,Banco Sabadell,-0.9445002,38.0848312
Consell,La Caixa,2.8131965,39.6687781
Sada,Banco Santander,-8.2541413,43.3509786
Sada,BBVA,-8.2536937,43.3518
Algemesí,Caixabank,-0.4374932,39.1900577
Higueruela,Unicaja Banco,-1.444077,38.9632187
Zuera,Banco Santander,-0.7892536,41.8673947
Zuera,Caixabank,-0.787659,41.8684378
Zuera,Ibercaja,-0.7876,41.8686989
Zuera,BBVA,-0.7867998,41.868798
Zuera,Bantierra,-0.787827,41.8696011
Venta de Baños,Cajamar,-4.4884988,41.9213122
Venta de Baños,Banco Santander,-4.496589,41.9199434
Orihuela,Caja Rural Central,-0.9459512,38.0860634
Ontinar de Salz,Ibercaja,-0.7548367,41.9358461
Madrid,Caixabank,-3.6598383,40.4030411
Mérida,Bankinter,-6.3457347,38.9162405
Ermua,Laboral Kutxa,-2.5044474,43.1864895
Azkoitia,Laboral Kutxa,-2.311819,43.1779299
San Mateo de Gállego,Ibercaja,-0.7689379,41.8301546
Bilbao,Laboral Kutxa,-2.9462631,43.2709665
El Masnou,BBV,2.3159704,41.4811153
València,Globalcaja,-0.3718475,39.4653941
Orihuela,Caja Rural,-0.9489467,38.0853942
Alfaro,La Caixa (Agrobank),-1.7488481,42.178899
Bilbao,Banco Sabadell,-2.9476788,43.271772
Cabana de Bergantiños,Abanca,-8.9294853,43.2186595
Torregrossa,Caixabank,0.8319886,41.5804987
El Masnou,Caixabank,2.3161909,41.4806502
Térmens,Caixabank,0.761438,41.7178558
Algeciras,Banco Santander,-5.4403536,36.1094191
Santa Gertrudis de Fruitera,Caixabank,1.4292682,38.9976232
Santa Gertrudis de Fruitera,Banco Sabadell,1.4286754,38.9976983
Santa Gertrudis de Fruitera,Caixabank,1.4301378,38.997475
Bollullos de la Mitación,Caixabank,-6.137859,37.338903
Bollullos de la Mitación,BBVA,-6.1386372,37.3404121
L'Hospitalet de Llobregat,Banco Santander,2.1120425,41.3525017
Ferrol,Abanca,-8.2338312,43.482905
Ferrol,Abanca,-8.206576,43.4856591
Manresa,Caixa dels Enginyers,1.8278126,41.7304761
Benitachell/el Poble Nou de Benitatxell,Banco Sabadell,0.1431535,38.7295709
Málaga,Cajamar,-4.4225646,36.7173035
Losar de la Vera,Unicaja Banco,-5.6071194,40.1213943
Móra d'Ebre,Banco Santander,0.6393888,41.0885171
Santander,Banco Santander,-3.8074272,43.4616482
Salas,Banco Sabadell,-6.26052,43.4084112
Pontevedra,Caixa Rural Galega,-8.6474944,42.4324052
Cambados,Caixa Rural Galega,-8.8146051,42.51565
Oviedo,Banco Santander,-5.8484497,43.3631857
La Curva,Cajamar Caja Rural,-2.9786489,36.758798
La Curva,Unicaja Banco,-2.9789866,36.7586749
València,BBVA,-0.3983698,39.4620516
Arico Viejo,Cajasiete,-16.4802676,28.1824502
Torredelcampo,UNICAJA,-3.8979307,37.771269
Barcelona,Triodos Bank,2.1640501,41.397915
Alcalá,Caixabank,-3.3661035,40.4873641
Nambroca,Eurocaja Rural,-3.945174,39.7994502
Muskiz,Laboral Kutxa,-3.1144754,43.321858
Torrevieja,Caixabank,-0.6796548,37.9774233
Barbastro,Caixabank,0.1254125,42.0366848
Vallfogona de Balaguer,Banco Santander,0.8130998,41.7518997
Llinars del Vallès,BBVA,2.3976289,41.63949
Urretxu,Laboral Kutxa,-2.3135587,43.0918926
Vilanova i la Geltrú,BBVA,1.7153672,41.2208649
Vilanova i la Geltrú,Caixabank,1.7195803,41.2220426
Vilanova i la Geltrú,Banco Santander,1.7193952,41.2221727
Ampuero,Unicaja Banco,-3.4173232,43.3421871
Vilanova i la Geltrú,Banco Sabadell,1.7241461,41.2237434
Vilanova i la Geltrú,Caixabank Business,1.7240405,41.2236997
Santiago de Compostela,Abanca,-8.5403634,42.8817808
Málaga,Caixabank,-4.4355344,36.7045903
Málaga,CajaSur,-4.4362927,36.7052144
Salvaterra De Miño,Abanca,-8.5012334,42.082412
Oviedo / Uviéu,Banco Santander,-5.8433886,43.3576295
Palma,sys finance,2.6201416,39.5724555
Sonseca,Eurocaja Rural,-3.9708868,39.6767455
Somo,Caixabank,-3.7424929,43.4536849
Somo,Banco Santander,-3.7434288,43.4545054
Basauri,Banco Sabadell,-2.8860146,43.236395
Basauri,Banco Santander,-2.8853758,43.2366533
Basauri,BBVA,-2.8851266,43.2368681
Oviedo / Uviéu,Caja Rural,-5.8484562,43.3691706
Oviedo,Bankinter,-5.8605614,43.3618107
Oviedo,Caja Rural,-5.8467946,43.3601316
Avilés,Banco Santander,-5.9236802,43.5567752
Oviedo,Banco Sabadell,-5.8541241,43.3624484
Vélez de Benaudalla,Caixabank,-3.5160396,36.8323843
Oviedo,Caja Rural,-5.8502861,43.3653776
Madrid,Banco Santander,-3.6866934,40.492869
València,Banco Sabadell,-0.3982389,39.4788581
Borriana / Burriana,Banco Santander,-0.0840474,39.889244
Borriana / Burriana,Caixabank,-0.0836657,39.8889662
Santurtzi,Banco Santander,-3.0309847,43.3282243
Mancha Real,Unicaja Banco,-3.6113651,37.786105
La Seu d'Urgell,Banco Sabadell,1.4595822,42.3563054
La Seu d'Urgell,Banco Santander,1.4595301,42.3564501
Borriana / Burriana,BBVA,-0.0848065,39.8892714
València,Santander,-0.3549318,39.4714364
València,Ibercaja,-0.3528554,39.4749256
València,Banco Santander,-0.3440874,39.4813866
València,Caixa d'Enginyers,-0.3441475,39.4815391
València,BBVA,-0.3497148,39.4678902
Roquetas de Mar,Banco Santander,-2.6122285,36.7642034
Borriana / Burriana,Caixa Rural Burriana,-0.0887642,39.8876019
Borriana / Burriana,Caixa Rural burriana,-0.0815344,39.8854339
Roquetas de Mar,Caixabank,-2.612794,36.7644256
Roquetas de Mar,Bankinter,-2.6125206,36.7641241
Tres Cantos,Banco Sabadell,-3.7135937,40.6078087
Tres Cantos,Kutxabank,-3.7140569,40.6081694
Tres Cantos,Deutsche Bank,-3.7140907,40.6086252
Tres Cantos,Banco Santander,-3.7137888,40.608916
Tres Cantos,BBVA,-3.7135721,40.6092526
Madrid,Caixabank,-3.679569,40.4346341
Barcelona,BBVA,2.1835499,41.3832724
Redondela,BBVA,-8.6090021,42.2833015
Redondela,Banco Santander,-8.6088364,42.2830964
La Línea de la Concepción,CajaSur,-5.3500117,36.1619267
Lleida,Caixabank,0.6346261,41.6226249
Reus,Financia,1.0981232,41.156464
Belmonte / Balmonte,Banco Santander,-6.2176924,43.2820146
Pòrtol,Caixa Bank,2.7714998,39.6176667
Navia,Banco Santander,-6.7245638,43.5395775
Avilés,Banco Sabadell,-5.9250633,43.5581344
Torrox-Costa,Caixabank,-3.9685207,36.7320181
Oviedo / Uviéu,Caixabank,-5.838945,43.3704873
Oviedo,Caixabank,-5.8532343,43.3643223
Motril,BBVA,-3.5161967,36.7451232
Motril,CajaSur,-3.5169252,36.7442116
Motril,Banco Santander,-3.5170751,36.7455573
Motril,Caja Rural,-3.5168603,36.7443398
Motril,Caixabank,-3.516788,36.7456966
Motril,Banco Sabadell,-3.5182161,36.7436885
Pamplona/Iruña,Cajamar,-1.6571415,42.8099711
Fregenal de la Sierra,Ibercaja,-6.6530368,38.1687548
Motril,Unicaja Banco,-3.5169935,36.7458793
Pamplona/Iruña,Caja Rural,-1.6718739,42.808473
Pamplona/Iruña,BBVA,-1.671961,42.8085939
Pamplona/Iruña,Laboral Kutxa,-1.6726255,42.8092401
Pamplona/Iruña,Banco Santander,-1.6729918,42.8090331
Mojácar Playa,Banco Santander,-1.8327282,37.1351071
Mojácar Playa,Unicaja Banco,-1.830475,37.1335274
Mojácar Playa,Ibercaja,-1.8325546,37.1351216
Guadalajara,Banco Santander,-3.1665658,40.6331965
Puente Mayorga,Unicaja Banco,-5.3861809,36.1810932
Lleida,Banco Sabadell,0.6200035,41.6116788
La Línea de la Concepción,Unicaja Banco,-5.3507239,36.1619929
Puente Viesgo,Banco Santander,-3.967332,43.299132
Almería,Abanca Almería,-2.4590633,36.8408192
Oviedo,Caixabank,-5.8585536,43.3607303
Areatza,BBVA,-2.7690856,43.1207743
Areatza,Kutxabank,-2.7696422,43.1210114
Barcelona,Caixabank,2.1732535,41.4089716
Barcelona,Caixabank,2.1709173,41.4173428
León,Laboral Kutxa,-5.5719526,42.598471
La Línea de la Concepción,BBVA,-5.3487096,36.1766135
León,Kutxabank,-5.5724128,42.5987036
León,Unicaja Banco,-5.5759444,42.5999578
León,Banco Sabadell,-5.5681551,42.5871785
Turre,Cajamar,-1.8931664,37.1523159
A Feira do Monte,Banco Santander,-7.5548338,43.2361567
León,Caja Rural,-5.5760696,42.5969679
Betanzos,BBVA,-8.2104556,43.2801562
Las Palmas de Gran Canaria,Banco Santander,-15.4315117,28.1100134
Las Palmas de Gran Canaria,Caixabank,-15.4321136,28.1096832
Picanya,BBVA,-0.4378476,39.4348292
Picanya,Banco Santander,-0.4368077,39.4357865
Picanya,Cajamar,-0.435969,39.4341583
Picanya,Banco Sabadell,-0.4351898,39.4339149
Picanya,Caixabank,-0.4341237,39.4348624
